All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-11-27_19:26:33	1	Ltd Random	True	5.793705	95.4085	41.62458	72.12069	90	129.4026	0	90	90	2.414837E-06	0	78.48046	0.4437807	2869.767	237.9484	150.5054	0	503.7943	97.52571	939.9548	940.0385	28	9	4	1	6	5	4	2	
	2	2018-11-27_19:26:35	1	ZEROING DATA	True	1.649019	99.41393	99.21686	99.27687	8.029619E-07	1.023679E-14	0	8.029619E-07	0	0	0	100	1.78436E-09	1562.833	203.2526	296.5564	0	254.8276	171.5764	307.6301	328.9904	12	3	1	1	5	1	1	1	
	3	2018-11-27_19:26:44	1	Presets_dockPreset_4	True	8.660695	89.85781	94.79997	91.80743	110	38.14481	0	0	12.71411	111.3136	78.35346	81.77372	0.3894733	2113.657	418.9299	553.2594	0	583.5593	16.75476	260.4257	280.7278	34	10	4	1	7	9	4	0	
	4	2018-11-27_19:26:46	1	ZEROING DATA	True	2.519972	98.56735	96.31085	97.56786	2.228162E-11	1.916636E-24	0	0	0	0	0	100	2.475736E-14	899.0435	331.1944	93.7728	0	112.7618	27.60693	201.6401	132.0674	29	9	7	1	9	3	2	1	
	5	2018-11-27_19:26:54	1	Presets_dockPreset_2	True	7.942334	96.47701	85.07521	91.19815	90	90	0	90	57.04883	64.09631	133.6835	65.75809	0.5831429	3777.726	381.9478	572.7175	0	547.6332	138.0362	722.991	1414.399	26	16	2	1	5	3	0	0	
	6	2018-11-27_19:26:56	1	ZEROING DATA	True	1.582217	98.46621	87.62714	93.49761	1.573605E-06	2.767567E-14	0	1.573605E-06	0	0	0	100	3.496901E-09	1388.523	191.9873	265.1426	0	250.6203	138.4901	218.7233	323.5597	13	3	5	1	3	1	0	1	
	7	2018-11-27_19:27:03	1	Ltd Random	False	6.665607	92.10844	95.12015	93.29738	30	108.5995	0	90	5.008957E-06	90	5.008957E-06	88.53748	0.3539994	971.4437	221.0693	316.9521	0	251.0766	41.45712	95.73756	45.15126	32	4	2	1	8	7	4	9	
	8	2018-11-27_19:27:06	1	ZEROING DATA	True	3.054	97.46033	96.72849	97.02138	0	0	0	0	0	0	0	100	0	778.6705	172.9699	203.7215	0	232.1287	6.382421	142.5679	20.90013	49	19	10	1	14	3	2	3	
	9	2018-11-27_19:27:12	1	Presets_dockPreset_1	False	6.321309	98.21201	96.30344	97.17034	0	150	0	150	2.09375	113.9393	150.9773	81.67205	0.6300116	1577.014	392.9797	408.3806	0	270.6971	68.10586	101.9431	334.9077	14	5	1	1	0	3	0	6	
	10	2018-11-27_19:27:15	1	ZEROING DATA	True	2.244244	99.80744	98.05765	99.02783	0	2.674458E-20	0	1.992083E-09	0	0	0	100	2.213425E-12	1423.475	44.76638	377.2011	0	314.6179	113.4742	222.4105	351.0051	15	3	3	1	3	3	4	1	
	11	2018-11-27_19:27:24	1	Ltd Random	True	9.452008	94.02893	89.49255	91.51891	90	50.8894	0	150	5.122642E-06	150	90	78.98386	0.5898771	1617.599	357.9776	596.8641	0	201.6115	79.95671	149.0658	232.1234	20	4	6	1	1	6	0	4	
	12	2018-11-27_19:27:26	1	ZEROING DATA	True	1.818926	99.41391	99.86818	99.54106	3.947272E-08	1.113191E-17	0	5.682339E-08	0	0	0	100	1.069957E-10	1378.542	236.369	212.3953	0	321.1104	126.8823	273.5232	208.261	18	3	5	1	1	5	1	3	
	13	2018-11-27_19:27:35	1	Presets_dockPreset_3	False	8.43025	97.43752	81.44284	90.52747	110	113.2365	0	135	19.7482	100.8073	67.72881	75.51337	0.6072453	2289.385	351.1978	400.4099	0	349.9456	155.0484	150.7418	882.0423	18	2	1	1	0	13	2	0	
	14	2018-11-27_19:27:38	1	ZEROING DATA	True	2.596968	99.60928	99.20891	99.3488	2.983931E-11	8.401742E-24	0	3.631856E-11	0	0	0	100	7.350874E-14	1472.909	198.6441	305.9337	0	301.1649	85.43443	155.1004	426.6318	10	1	3	1	1	1	3	1	
