All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-11-02_15:22:31	1	Presets_dockPreset_2	True	6.487908	97.56104	96.50302	96.83561	90	90	0	90	22.94461	25.02894	104.6273	90.40876	0.4695565	593.8251	87.67758	100.3369	0	168.0878	71.97348	38.22736	127.522	17	1	0	1	5	7	2	2	
	2	2018-11-02_15:22:34	1	ZEROING DATA	True	3.235806	99.56981	99.74042	99.27731	2.679923E-14	8.01695E-30	0	2.679923E-14	0	0	0	100	5.955384E-17	921.2947	172.8013	214.7397	0	185.1764	50.66308	63.01109	234.9031	10	1	1	1	1	3	1	3	
	3	2018-11-02_15:22:42	1	Presets_dockPreset_1	True	7.906433	97.19143	96.56906	95.80722	4.371069E-35	150	0	150	55.67585	98.40427	3.183105	86.22592	0.5080702	920.4155	147.2482	268.1902	0	237.2452	66.96313	72.85129	127.9173	20	5	0	1	0	0	0	17	
	4	2018-11-02_15:22:44	1	ZEROING DATA	True	2.004854	99.69295	99.74959	99.34052	0	4.763626E-18	0	2.636386E-08	0	0	0	100	2.929317E-11	927.2675	0	299.1353	0	327.6692	80.71556	156.1199	63.62756	11	1	3	1	1	2	1	5	
	5	2018-11-02_15:22:49	1	Ltd Random	True	4.182627	93.91634	68.02292	82.32718	30	30	0	150	90	0	0	94.06377	0.3333333	762.6055	17.58241	50.16843	0	134.0951	75.93886	225.8333	258.9875	12	0	2	1	0	2	4	6	
	6	2018-11-02_15:22:55	1	ZEROING DATA	True	6.237005	99.93488	99.25594	99.56383	7.328123E-29	0	0	3.664049E-28	0	0	0	100	4.885401E-31	1019.299	35.42755	137.1427	0	285.7443	166.0638	179.3937	215.5272	20	1	3	1	1	5	5	5	
	7	2018-11-02_15:23:07	1	Ltd Random	True	11.81098	97.58199	99.02449	97.97249	30	68.79398	0	150	30	30	180	75.13381	0.5431044	1597.43	143.4724	312.7324	0	349.5381	55.74039	59.86074	676.0861	36	7	4	1	0	3	11	11	
	8	2018-11-02_15:23:12	1	ZEROING DATA	True	5.231135	99.87462	97.33829	98.78111	3.643436E-24	1.611493E-43	0	1.743724E-23	0	0	0	100	2.342297E-26	1162.473	54.05399	146.2856	0	353.6231	95.2725	118.6311	394.6066	23	1	3	1	3	7	8	1	
	9	2018-11-02_15:23:22	1	Presets_dockPreset_3	True	9.905951	97.32047	93.43622	94.07541	110	113.3161	0	135	3.764166	141.968	131.7087	79.76925	0.7063967	1073.341	118.1537	111.3552	0	300.0729	117.8103	124.5479	301.4018	16	2	1	1	0	14	0	0	
	10	2018-11-02_15:23:26	1	ZEROING DATA	True	3.768015	99.72092	99.46747	99.49225	9.526248E-17	8.627073E-35	0	1.152954E-16	0	0	0	100	2.339532E-19	1371.552	202.4823	222.0071	0	296.1545	79.2534	256.4186	315.2356	16	1	1	1	1	1	5	7	
	11	2018-11-02_15:23:33	1	Presets_dockPreset_4	True	6.488141	82.27409	92.61445	86.16119	110	37.90323	0	1.611493E-43	67.49429	19.03018	61.81549	91.72448	0.3291591	1065.326	140.1903	180.7471	0	188.4834	73.32221	237.1242	245.4588	17	0	2	1	4	6	4	2	
	12	2018-11-02_15:23:36	1	ZEROING DATA	True	2.883157	99.86551	97.95334	98.6653	1.509051E-12	7.23141E-27	0	0	0	0	0	100	1.676724E-15	601.999	98.71118	154.9596	0	48.27768	145.4545	73.58031	81.01567	15	1	1	1	1	3	8	1	
	13	2018-11-02_15:23:45	1	Presets_dockPreset_5	True	9.558564	94.33232	75.86224	85.09156	0	0	0	90	74.72808	168.089	122.7037	67.08161	0.5061342	4348.03	0	125.8899	0	169.9633	183.0919	1151.436	2717.649	24	1	3	1	0	12	4	6	
	14	2018-11-02_15:23:50	1	ZEROING DATA	True	4.297633	97.81927	99.04098	98.07819	0	0	0	2.792859E-19	0	0	0	100	3.103176E-22	1247.57	0	0	0	261.8577	192.9628	423.977	368.7733	17	1	1	1	2	7	5	3	
	15	2018-11-02_15:23:57	1	Ltd Random	False	6.553576	92.25713	83.9958	85.81648	90	128.9003	0	90	1.024528E-05	90	90	88.672	0.5432225	929.9742	104.0849	126.8277	0	308.465	58.76868	157.8632	173.965	11	2	2	1	6	2	0	0	
	16	2018-11-02_15:24:02	1	ZEROING DATA	True	5.295357	98.14408	97.38176	97.61549	6.235087E-24	1.611493E-43	0	6.235087E-24	0	0	0	100	1.385575E-26	1273.619	229.2327	276.3954	0	184.5398	120.8402	254.761	207.8498	16	3	1	1	4	5	1	2	
	17	2018-11-02_15:24:12	1	Presets_dockPreset_1	True	9.670309	93.99133	86.6139	90.60451	3.208973E-43	150	0	150	54.68338	58.47218	44.32874	80.57594	0.5083159	2154.228	216.6151	266.7837	0	290.7467	211.2544	422.5964	746.2308	15	5	0	1	0	7	4	0	
	18	2018-11-02_15:24:15	1	ZEROING DATA	True	3.595594	99.1908	97.86096	98.44921	0	4.812733E-33	0	8.368564E-16	0	0	0	100	9.298404E-19	952.5264	13.46259	241.465	0	281.2184	134.2812	135.7496	146.3493	21	3	1	1	1	7	4	7	
