
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	0.05672684	-1.406586	0	0.2912726	0.01194329	-0.0005879042	-0.03417969	
1	0.5030563	8.727378E-10	0	0.03419188	-0.02334595	0.02245704	-0.0008707696	
2	0.5030563	8.727378E-10	0	-0.4346619	-0.02566528	0.1821614	-0.03924561	
3	0.2686203	8.727378E-10	0	-0.2002563	-0.1603088	0.6495314	-0.05319214	
4	0.5030563	8.727378E-10	0	0.03419191	-0.3592834	1.471395	-0.0562439	
5	0.2686203	-0.234436	0	0.2686203	-0.1780701	1.612283	-0.06640625	
6	0.2686203	0	0	0.03419191	-0.1442566	1.624629	-0.05426025	
7	0.5030563	0.234436	0	-0.2002563	-0.191925	1.670336	-0.0223999	
8	0.7374847	0	0	0.03419191	-0.1478882	1.695135	0.02414788	
9	0.2686203	0	0	0.03419191	-0.1824646	1.705921	0.02285845	
10	0.2686203	-0.4688721	0	0.5030563	-0.1140747	1.70751	0.03631195	
11	0.03419188	-0.234436	0	0.03419188	-0.09152222	1.708219	0.04842957	
12	0.5030563	2.668037E-08	0	-0.2002563	-0.1383362	1.7081	0.08144058	
13	0.5030563	0.2344361	0	-0.4346619	-0.3470154	1.705351	0.1557858	
14	0.7374847	0.4688645	0	-0.2002563	-0.5353394	1.919604	0.1671534	
15	0.7374847	5.336041E-08	0	0.03419188	-0.7779541	3.738849	0.1380511	
16	0.5030564	-0.4688721	0	0.7374847	-0.7089233	4.542403	0.04798777	
17	0.2686203	5.336041E-08	0	-0.4346619	-0.6911316	5.069671	-0.03601074	
18	0.5030563	5.336041E-08	0	-0.2002563	0.01880859	5.641573	-0.1689453	
19	0.5030564	0.2344361	0	-0.4346619	1.423978	6.963589	-0.1879578	
20	0.7374848	-11.72159	0	-0.2002563	2.409296	11.76763	-0.5273743	
21	0.5030565	-61.65561	0	-0.4346619	2.530709	16.43663	-0.3945313	
22	0.7374848	-86.73984	0	0.03419185	2.874175	16.71869	-0.6660461	
23	0.5030565	-96.11713	0	0.03419185	2.63623	19.06414	-0.2022095	
24	0.2686204	-105.4944	0	0.03419185	1.613299	19.77826	3.955196	
25	-15.67276	-120.7325	0	8.942609	0.3061182	20.1709	9.729929	
26	-18.2515	-125.89	0	29.10376	0.4453272	19.94493	8.612303	
27	-18.2515	-129.4065	0	49.73378	-0.1022644	18.69578	11.54885	
28	-18.2515	-135.9706	0	61.6898	0.5254562	18.11674	7.816058	
29	-19.65811	-137.3772	0	72.7081	1.004233	18.35999	6.896633	
30	-31.14526	-137.846	0	79.27219	0.6219355	18.37385	8.413721	
31	-32.08301	-138.0805	0	71.77036	0.5818056	18.2354	7.230281	
32	-31.84857	-137.846	0	95.91687	-0.182312	17.38942	4.307535	
33	-31.84857	-135.9706	0	107.6385	-0.1798706	14.6696	-0.03295898	
34	-31.84857	-137.3772	0	110.6861	-0.3711853	13.31545	-0.3442993	
35	-44.03903	-136.9083	0	117.9535	-0.6537781	12.46882	-0.2966309	
