
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-0.640625	-0.4688721	0	1.469221	-0.2195129	0.5469206	0.1587066	
1	-1.801819	0.9377213	0	-1.567383	0.3322172	0.1022376	-0.2176208	
2	-0.6296692	1.87545	0	-2.973969	1.19995	0.09645014	-0.5038757	
3	0.07364023	1.641022	0	-3.442841	1.950172	0.5482779	-0.7583923	
4	0.3080686	1.641022	0	-3.677277	2.338641	1.322939	-0.4125366	
5	0.3080686	1.641022	0	-3.442841	2.082391	2.168145	0.1651108	
6	0.3080686	-0.7033081	0	-0.1607971	1.513398	2.88843	0.2839885	
7	-1.567383	1.406586	0	-2.505127	0.8058504	3.707669	0.05529342	
8	-0.1607971	1.641022	0	-3.677277	0.4265574	3.979268	-0.6905823	
9	0.07364005	1.641022	0	-3.677277	1.569482	4.061997	-1.401367	
10	1.011369	2.109886	0	-3.442841	5.721966	3.336111	-3.070496	
11	0.7769329	2.109886	0	1.714661	10.93123	0.8850432	-6.166168	
12	0.5425045	0.7032928	0	7.80989	14.55921	-2.313812	-10.32516	
13	-0.8640747	1.87545	0	6.872161	16.38457	-4.953156	-11.60886	
14	-0.1607971	1.641022	0	7.341027	17.57239	-5.966187	-11.59146	
15	-0.1607971	1.641022	0	6.637734	18.01905	-6.194031	-11.41937	
16	-0.1607971	1.641022	0	7.575463	17.9602	-6.680054	-11.93314	
17	-0.1607971	-3.047638	0	10.38864	17.74082	-7.623199	-13.0799	
18	-2.036255	-11.48718	0	8.982047	17.78411	-8.90033	-15.19604	
19	-0.8640747	-11.01831	0	7.341028	12.96276	-8.283112	-17.77994	
20	0.07363961	-1.875458	0	6.16887	4.912515	-9.949829	-21.46475	
21	0.542504	1.280489E-06	0	5.700006	2.069332	-15.47726	-25.6424	
22	0.7769324	1.280489E-06	0	7.106598	4.107131	-20.2088	-28.99109	
23	0.308068	-0.9377136	0	7.809891	6.488966	-22.43613	-30.03378	
24	-0.6296692	-0.4688721	0	9.216485	6.740942	-25.74231	-31.78174	
25	0.308068	-8.205109	0	17.89046	7.219591	-31.16864	-33.54697	
26	0.308068	-23.20877	0	28.43991	7.106892	-41.4509	-38.02948	
27	0.308068	-26.25638	0	32.89411	0.8846096	-51.39536	-42.29498	
28	0.308068	-28.60071	0	35.94174	-5.385284	-58.60654	-42.39203	
29	-1.801819	-28.60071	0	48.60107	-8.602051	-62.91745	-47.47723	
30	-0.8640747	-28.60071	0	54.6963	-9.932739	-64.4368	-53.83212	
31	0.07363945	-28.60071	0	63.60471	-9.763885	-66.46567	-57.15366	
32	0.7769323	-28.36627	0	64.07358	-9.247925	-66.44104	-61.13812	
33	0.5425039	-28.36627	0	71.80983	-7.69043	-63.20663	-62.38239	
34	1.011368	-28.83514	0	72.27869	-4.509247	-57.22739	-61.10693	
35	-0.6296692	-28.36627	0	73.21642	-1.778168	-50.67413	-57.84891	
36	-0.1607971	-28.13184	0	73.21642	1.924443	-41.65698	-52.84665	
37	0.3080678	-27.66296	0	72.98199	8.050336	-30.0632	-46.73175	
38	0.3080678	-27.66296	0	72.98199	14.58672	-17.8613	-38.00439	
39	0.7769322	-27.66296	0	72.98199	17.06504	-6.928528	-30.40417	
40	0.7769322	-27.66296	0	72.04427	18.08714	2.273188	-23.42889	
41	-0.3952332	-28.60071	0	73.21642	18.52917	10.02822	-17.00272	
42	0.07363938	-34.93036	0	72.98199	15.86324	15.27149	-10.94922	
43	0.5425038	-45.4798	0	70.16882	10.26026	17.59621	-6.064117	
44	0.0736394	-49.23071	0	66.88677	5.639202	17.58283	-3.522491	
45	0.3080678	-48.76187	0	65.24574	1.597433	16.35574	-2.851837	
46	-2.036255	-48.99628	0	62.19814	-1.273132	15.42121	-3.221985	
47	-0.1607971	-49.46515	0	58.44723	-2.796906	15.03872	-3.369263	
48	0.07363939	-49.93402	0	57.04064	-2.858795	14.48741	-2.919403	
49	0.7769322	-49.93402	0	-3.677246	-2.691803	13.98095	-3.031403	
50	0.5425038	-49.93402	0	15.31174	-1.833954	13.61875	-2.610382	
51	-0.6296692	-48.99628	0	57.5095	-1.492188	13.01489	-2.79483	
52	-8.13147	-49.46515	0	55.39961	-0.8456421	11.30214	-4.11438	
53	-11.17911	-49.46515	0	55.86848	-0.5067444	8.677344	-6.358917	
54	-13.99228	-49.46515	0	57.97836	-0.7785339	5.890284	-9.144653	
55	-13.75784	-49.23071	0	57.97836	-0.947876	0.9107279	-13.97104	
56	-13.99228	-48.52744	0	59.85382	-1.710968	-5.891937	-17.42148	
57	-14.92999	-48.99631	0	62.19814	-3.261688	-13.04727	-21.14746	
58	-14.22672	-49.46515	0	68.76223	-3.743042	-18.95157	-28.34674	
59	-13.52341	-49.93402	0	72.98201	-2.917145	-25.0441	-38.61801	
60	-9.30365	-49.69958	0	74.62303	-1.536102	-30.98532	-44.21024	
61	-8.365906	-49.69958	0	76.02962	-0.692688	-36.09033	-48.29669	
62	-4.380554	-48.52744	0	76.02962	-0.3030396	-39.88315	-49.716	
63	-5.318298	-48.52744	0	77.67065	0.8613893	-43.05676	-51.10452	
64	-4.380554	-47.35529	0	80.48383	1.790096	-46.17322	-53.36255	
65	-4.61499	-45.94867	0	84.70361	2.437351	-51.56284	-57.03021	
66	-4.61499	-45.71423	0	86.8135	2.582144	-56.79584	-59.34967	
67	-2.270691	-43.60437	0	86.11021	2.870319	-60.12781	-59.58316	
68	-2.505127	-43.36993	0	85.64134	2.954298	-62.76279	-58.56705	
69	-1.332947	-40.08789	0	86.57907	0.237775	-63.48114	-56.54584	
70	-0.6296692	-34.46152	0	86.34464	-3.173859	-64.08038	-55.62418	
