VisLtdRandom Averages	Tester Names	Time Taken (avg)	Shape Precision % (avg)	Orientation Precision % (avg)	Overall Precision % (avg)	Efficiency % (avg)	Total Difficulty (avg)	MV (sum)	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE (sum)	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation
	10	6.885927	89.16961	81.60458	84.25817	88.07547	0.4415208	1209.225	151.5454	182.8726	0	233.0272	89.04062	184.1157	368.6232	13	1	1	1	1	3	2	3
	11	6.953452	90.82224	82.75195	86.07765	86.63757	0.4650249	1280.694	121.1337	179.0513	0	248.1517	115.8642	262.5841	353.9094	17	2	2	1	1	4	2	5
	12	9.590447	94.31814	80.45748	85.83265	83.26711	0.4797737	1409.181	181.7556	220.0222	0	315.3741	69.89262	246.4543	375.6825	21	4	3	1	3	3	2	6
	13	9.383266	88.06529	78.7928	83.06349	86.28423	0.4944945	1208.984	195.9181	194.3129	0	351.9244	48.21111	157.5964	261.0211	12	1	2	1	1	2	2	2
	14	12.8222	92.83453	83.92852	86.59201	72.28225	0.5075713	2158.593	258.8122	345.0213	0	451.0196	171.7359	347.217	584.7867	41	8	8	1	4	5	9	6
	15	4.24263	88.93201	79.31877	82.31213	90.25827	0.4588726	1184.589	183.7411	162.0003	0	239.6742	86.03413	217.2222	295.9178	9	1	1	1	0	1	1	3
	16	16.56993	92.98492	79.59801	86.81082	74.70305	0.432269	2482.317	267.3983	367.5268	0	405.3772	71.1752	684.1436	686.6962	29	5	7	1	3	5	2	6
	17	6.972604	89.70228	81.94177	84.76568	89.58199	0.4300797	1036.344	120.5654	180.0359	0	276.5204	69.27285	151.2928	238.6562	12	1	2	1	1	3	1	3
	18	11.10328	90.18669	75.3007	83.27306	80.21272	0.4635306	1814.825	214.7751	278.6068	0	348.8172	78.95818	402.5947	491.0732	21	4	4	1	3	3	2	3
	19	7.847016	89.50429	81.31783	85.33932	83.76228	0.4316759	2011.077	270.8555	310.5521	0	372.3854	130.0325	402.3445	524.907	19	3	2	1	3	5	2	3
	20	7.564124	94.57121	78.50589	87.23173	84.14653	0.4223651	1791.992	200.0691	245.5988	0	312.6114	71.1355	554.7419	407.8356	19	4	2	1	4	3	2	3
OVERALL InvisLtdRandom Avg	ALL	9.74582925	91.5463955	80.0673995	85.477093	83.204967	0.465702185	1585.379815	201.790635	243.577565	0	308.67715	86.8127105	322.96633	421.55555	18.85	3.1	2.75	1	2.35	3.5	2.35	3.8
VisPresets Averages	Tester Names	Time Taken (avg)	Shape Precision % (avg)	Orientation Precision % (avg)	Overall Precision % (avg)	Efficiency % (avg)	Total Difficulty (avg)	MV (sum)	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE (sum)	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation
	1	13.31554	91.42336	84.80186	87.83875	72.44196	0.485977	2483.752	338.7421	381.288	0	435.9896	97.36418	623.8777	606.4907	36	12	8	1	6	5	2	2
	2	15.87767	94.74222	91.57398	92.3923	69.35719	0.4958908	2191.501	286.6676	317.4131	0	401.9817	123.1798	376.0963	686.1627	42	7	8	1	6	8	6	6
	3	10.40905	92.15514	87.45523	89.37659	79.3253	0.4999803	2030.923	147.1851	183.4899	0	316.0645	139.7522	569.0443	675.3868	19	1	1	1	3	6	3	4
	4	14.44965	94.68469	95.34417	94.41403	71.79515	0.517197	1743.768	226.3806	228.8369	0	335.0468	76.00652	404.755	472.743	42	9	6	1	12	5	5	4
	5	8.025774	97.3412	91.80469	94.39027	75.59681	0.5237061	2331.404	192.0432	224.3201	0	272.7056	211.8808	607.9753	822.4783	27	2	5	1	7	5	4	3
	6	10.32992	94.56582	92.47633	92.55946	82.20272	0.5028645	1388.561	154.0768	223.8279	0	219.2964	86.58381	250.5716	454.205	21	3	5	1	3	3	4	3
	7	11.86037	94.11255	93.72846	93.4193	77.868	0.5138503	1652.371	149.1208	190.0071	0	282.5631	76.9203	418.6475	535.1125	24	4	4	1	3	5	3	4
	8	10.02341	95.04788	90.53364	92.30936	73.70904	0.4835023	2433.873	332.5832	363.4633	0	367.0845	194.702	452.247	723.7931	32	7	7	1	4	6	3	3
	9	20.61155	96.83329	95.23849	95.22783	64.69915	0.496264	2385.781	295.2679	341.6846	0	361.7915	149.8804	526.5496	710.6071	48	10	5	1	10	7	7	7
	10	15.91811	92.66111	89.65957	90.70273	60.91664	0.5261876	2936.801	379.0972	380.5379	0	492.5888	210.205	545.4843	928.8878	51	12	6	1	7	9	8	8
	11	9.492453	91.98637	88.27154	88.76931	77.01208	0.5267399	1943.638	187.1006	235.6667	0	247.8109	167.1391	522.8104	583.1102	26	2	3	1	6	6	4	3
	12	11.22463	96.20329	93.06487	94.0581	80.26721	0.5156437	1329.021	173.7092	184.5761	0	292.4591	115.2323	225.5741	337.47	25	3	4	1	5	5	3	4
	13	9.100092	88.63223	87.20457	87.24709	85.90862	0.5048483	1168.456	185.7971	208.3319	0	323.6047	68.61436	121.3573	260.7509	15	2	2	1	4	2	1	2
	14	17.61321	94.08998	93.49641	93.49168	64.18572	0.4759676	3223.32	280.1791	370.7933	0	490.3615	212.3913	790.5294	1079.065	53	5	6	1	7	14	10	9
	15	6.442998	91.10598	88.4211	89.04246	82.81376	0.5165682	1720.696	227.1786	243.9968	0	297.9229	143.4665	240.7864	567.3443	24	7	4	1	3	4	2	2
	16	21.35534	95.62307	92.43216	93.64355	54.1679	0.5189151	3259.023	339.5112	408.0601	0	473.2475	156.634	603.8158	1277.754	59	13	11	1	9	10	7	6
	17	13.33509	89.19013	81.06571	83.64005	73.7809	0.503921	2765.255	296.3374	383.226	0	478.4776	149.8981	389.2451	1068.071	25	3	4	1	4	6	2	3
	18	14.73404	92.21016	90.10032	90.49641	62.09841	0.5225716	3530.31	316.525	386.383	0	555.7297	190.6634	860.7386	1220.269	39	7	6	1	7	8	5	4
	19	8.939345	96.18669	88.70956	92.30094	76.03362	0.4943264	2427.429	264.3358	355.1254	0	367.9002	114.8098	560.4706	764.7874	28	7	4	1	6	5	3	3
	20	9.609404	96.56172	92.22593	94.36889	74.94024	0.5048912	2274.972	267.8017	302.5345	0	421.4958	144.3632	507.5171	631.2593	33	9	5	1	5	4	4	4
OVERALL VisPresets Avg	ALL	12.6333823	93.767844	90.3804295	91.484455	72.956021	0.506490645	2261.04275	251.98201	295.67813	0	371.70612	141.4843535	479.90467	720.287405	33.45	6.25	5.2	1	5.85	6.15	4.3	4.2
InvisPresets Averages	Tester Names	Time Taken (avg)	Shape Precision % (avg)	Orientation Precision % (avg)	Overall Precision % (avg)	Efficiency % (avg)	Total Difficulty (avg)	MV (sum)	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE (sum)	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation
	1	15.25844	91.37392	82.08629	86.22974	69.11134	0.5280238	2285.872	361.519	355.1879	0	491.2328	88.41446	373.9218	615.5961	47	14	11	1	6	6	4	3
	2	12.13762	93.12208	84.57034	88.62675	71.06959	0.5428392	2323.134	263.1377	314.4201	0	429.3023	114.5596	573.7045	628.0098	33	7	5	1	5	7	2	5
	3	7.593234	94.08925	79.99425	86.71535	87.2046	0.5657113	988.487	109.8079	127.7967	0	218.5297	79.41655	149.8517	303.0842	10	1	1	1	2	3	1	1
	4	8.849719	94.22754	83.66299	88.48454	84.10725	0.5093736	982.0355	182.4641	198.4779	0	226.9736	51.07475	127.3194	195.7259	25	6	6	1	5	2	1	2
	5	7.073061	94.97955	81.46812	87.95855	81.65099	0.485724	2033.684	188.0965	220.1551	0	242.1595	199.0377	521.1768	663.0586	17	2	3	1	4	2	3	2
	6	9.25358	94.2694	87.31435	90.12601	82.24306	0.4998164	1527.491	167.862	234.3538	0	265.1399	90.99633	342.6498	426.4892	19	3	2	1	3	4	2	3
	7	8.154935	90.73939	86.48551	88.1563	87.25876	0.4837476	1054.103	120.4752	186.6313	0	241.5895	58.97841	201.6894	244.7396	15	5	2	1	2	2	2	1
	8	7.626867	93.05263	88.73344	90.25965	79.99216	0.4977783	2013.196	240.0832	333.9953	0	293.8092	164.9545	399.2303	581.1237	23	5	5	1	2	4	2	2
	9	13.49869	92.44585	86.51187	88.92702	77.75404	0.468006	2012.801	262.0946	325.0712	0	305.9027	118.5538	438.507	562.6718	28	4	5	1	4	5	4	4
	10	8.70188	91.54148	82.68096	85.42579	82.11387	0.5120845	1723.037	208.4886	241.9025	0	272.3404	145.389	264.6053	590.312	18	4	4	1	3	1	2	2
	11	8.572462	89.30595	86.17957	86.81261	82.92686	0.466297	1846.466	136.7083	230.1653	0	250.8147	164.7461	429.4704	634.5606	18	3	3	1	1	3	2	4
	12	10.24271	95.05068	77.42316	85.29909	84.0833	0.4861957	1290.877	207.4361	225.1563	0	301.9442	70.94114	138.8156	346.5836	18	3	3	1	6	1	1	1
	13	8.291271	89.52493	83.98589	85.90733	86.37141	0.5040402	1250.527	192.9919	232.4862	0	292.5923	73.41158	114.6567	344.3878	13	4	3	1	1	1	1	1
	14	11.5438	92.26331	81.23279	85.16098	71.11259	0.5267449	2589.377	278.3196	355.4692	0	392.1953	210.3469	398.9188	954.1276	34	6	6	1	6	4	6	4
	15	5.241169	92.37868	74.091	81.90682	86.32808	0.48276	1452.527	185.3535	201.5306	0	234.3324	125.5002	259.6764	446.1334	16	4	3	1	3	2	2	1
	16	26.74619	93.65708	86.19569	89.44385	50.60552	0.5203131	4014.481	472.7458	557.4559	0	691.1132	256.7482	669.0976	1367.319	54	10	6	1	13	10	7	6
	17	7.321437	87.44188	76.83715	80.43366	85.86045	0.5085776	1473.77	168.1737	244.3329	0	281.4434	92.85142	293.1131	393.8553	11	2	2	1	2	1	1	1
	18	11.17538	92.11254	73.46435	80.8975	73.26848	0.5492085	2523.22	225.8508	357.9151	0	438.7321	177.7285	462.3551	860.6386	22	4	6	1	3	3	2	2
	19	6.601639	93.37752	86.09855	89.06403	78.61628	0.5063261	2511.571	263.9968	327.0092	0	329.5696	124.0485	588.0477	878.8994	21	4	3	1	3	3	3	3
	20	9.027423	96.32384	86.15702	91.18538	74.55585	0.5163353	2318.868	260.4714	311.271	0	383.9907	152.6544	514.785	695.6955	35	8	5	1	10	4	2	4
OVERALL InvisPresets Avg	ALL	10.14557535	92.563875	82.7586645	86.8510475	78.811724	0.507995155	1910.776225	224.803835	279.039175	0	329.185375	128.017602	363.07962	586.650585	23.85	4.95	4.2	1	4.2	3.4	2.5	2.6
