
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-84.38751	-72.43954	0	142.5426	86.74153	118.3757	101.8106	
1	-84.38751	-72.43954	0	142.5426	86.73061	118.3008	101.7469	
2	-84.38751	-72.43954	0	141.8393	86.75677	117.931	101.3726	
3	-84.38751	-72.43954	0	142.3082	86.71675	117.7877	101.2334	
4	-84.38751	-72.43954	0	142.5426	86.61343	118.599	102.0658	
5	-84.38751	-72.43954	0	142.5426	86.78344	119.6733	103.0215	
6	-84.62195	-72.43954	0	142.5426	86.73164	118.3879	102.1583	
7	-84.38751	-72.43954	0	142.5426	86.70415	117.3844	101.357	
8	-84.62195	-72.43954	0	142.0738	86.5405	116.1686	101.2376	
9	-84.38754	-72.43954	0	142.5426	85.73833	108.3203	95.42941	
10	-82.98096	-72.20511	0	142.5426	84.88764	91.54345	78.92604	
11	-73.8381	-53.21613	0	142.3082	85.8082	96.93637	82.72356	
12	-68.21173	-25.78757	0	142.5426	86.43064	98.48711	81.68816	
13	-65.63297	-26.72531	0	141.3705	84.88021	79.52774	60.52806	
14	-52.97366	-26.72531	0	141.6049	84.69596	63.21105	40.54206	
15	-47.58173	-26.25644	0	129.8833	84.46597	61.27156	37.76363	
16	-42.65863	-26.022	0	123.0847	84.62017	60.56368	36.22866	
17	-33.98465	-26.022	0	110.6599	84.30236	55.36629	30.18709	
18	-24.8418	-6.329712	0	97.53168	84.03731	53.14637	29.40533	
19	-23.20078	-7.03302	0	82.52802	82.38573	49.10781	28.94685	
20	-24.13852	-3.750977	0	78.30825	82.95435	48.59584	29.76078	
21	-23.43521	1.640973	0	27.4365	83.07354	48.30218	29.44787	
22	-22.73193	5.391881	0	41.50242	82.22385	45.09644	26.10682	
23	-19.44986	5.626317	0	26.49878	81.569	41.16368	20.45331	
24	-11.94806	3.985296	0	42.67459	80.252	36.92927	15.93432	
25	-7.728271	5.626317	0	30.01526	77.69398	30.85376	8.299887	
26	-0.2264404	5.860745	0	-2.101929	69.81976	22.41978	8.362115	
27	0.4768484	6.095181	0	-1.867493	57.46385	13.52044	5.989609	
