
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-82.52014	-102.4468	0	58.37358	43.27223	178.635	87.57697	
1	-82.52014	-102.6812	0	58.13914	43.21709	178.6044	87.11314	
2	-82.52014	-102.6812	0	57.90472	43.33023	178.2953	86.7227	
3	-82.52014	-102.6812	0	55.09153	43.1142	178.0988	85.98962	
4	-82.52014	-102.6812	0	46.65199	42.60505	178.1405	85.1861	
5	-82.28571	-102.2123	0	45.01096	42.4632	175.3628	81.44994	
6	-80.17584	-102.6812	0	37.978	41.69496	167.8333	75.32569	
7	-68.68866	-102.6812	0	37.74357	39.47852	160.3078	63.6109	
8	-55.32605	-102.9156	0	37.74357	35.98577	153.3971	52.90316	
9	-50.87183	-102.9156	0	37.50914	29.09111	142.5645	42.11701	
10	-38.21252	-102.9156	0	34.93039	19.55157	132.3024	38.05909	
11	-34.93045	-102.4468	0	36.10255	12.14252	121.6187	38.14185	
12	-32.58615	-102.6812	0	34.93039	11.23874	111.4464	33.74946	
13	-8.439636	-94.0072	0	34.93039	11.99126	101.8789	30.05775	
14	-3.751007	-39.15012	0	36.57141	12.85702	89.8524	29.74739	
15	-2.109985	-38.44681	0	37.04028	15.04954	78.54832	25.0101	
16	-2.813263	-27.89737	0	38.44687	15.98896	71.85551	21.74662	
17	-4.454285	-25.55307	0	37.27471	15.9496	68.35377	21.34836	
18	-2.344421	-25.55307	0	36.80585	18.3623	66.33527	20.2468	
19	-2.578827	-25.0842	0	13.36265	18.07932	63.66001	16.53166	
20	-1.641113	-21.80215	0	-2.109863	19.04685	59.42392	15.2511	
21	-0.7033691	-21.56772	0	-2.109863	21.69053	52.30148	9.634717	
22	-0.7033691	-22.73987	0	-1.17215	25.49849	43.60605	4.97253	
23	-2.109985	-22.03659	0	-2.344299	28.86851	36.61499	0.489527	
24	-1.406677	-19.22339	0	-1.406555	29.22544	29.65022	-0.3401489	
25	-1.875549	-15.23804	0	-2.109863	26.72573	26.27681	5.26157	
26	-1.406677	-8.205078	0	-2.344299	24.8123	24.96619	10.42421	
