
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-92.75848	-94.00726	0	97.60038	-70.41827	-71.60867	-69.36789	
1	-93.69623	-93.53842	0	96.66265	-70.38342	-71.86868	-69.06274	
2	-92.75848	-93.06955	0	95.95936	-70.26111	-72.15295	-68.80707	
3	-92.75848	-92.83511	0	95.95936	-70.33768	-72.35431	-68.64362	
4	-92.28961	-93.06955	0	95.95936	-70.1312	-72.10651	-68.99039	
5	-92.28961	-93.06955	0	96.19379	-70.07666	-71.69635	-69.38998	
6	-92.75848	-94.2417	0	97.60038	-69.87451	-71.71796	-69.32489	
7	-92.99292	-93.06955	0	95.95936	-69.76511	-71.37256	-69.46912	
8	-92.52405	-93.06955	0	95.95936	-69.58667	-71.3031	-69.37997	
9	-92.75848	-92.83511	0	95.95936	-69.39307	-71.89001	-68.62164	
10	-92.52405	-92.83511	0	95.95936	-69.38934	-72.03088	-68.55374	
11	-92.52405	-92.83511	0	96.19379	-69.09088	-70.89734	-69.74396	
12	-92.52405	-93.53842	0	96.42822	-68.61917	-68.2193	-72.1424	
13	-92.99292	-93.30399	0	95.95936	-67.83243	-64.69702	-75.43466	
14	-92.75851	-93.06955	0	95.95936	-66.9382	-58.42831	-81.46271	
15	-92.75851	-93.06955	0	95.95936	-66.53854	-53.22809	-86.57239	
16	-92.75851	-93.30399	0	95.95936	-65.94028	-49.35349	-90.40295	
17	-92.75851	-94.00726	0	97.60038	-65.0585	-46.94989	-92.54843	
18	-93.46179	-93.53839	0	96.66265	-64.42886	-46.59448	-92.72101	
19	-92.99292	-93.06955	0	95.95936	-64.53644	-47.36102	-91.95724	
20	-92.52408	-93.06955	0	96.19379	-64.81235	-47.96075	-91.37741	
21	-92.75851	-93.06955	0	96.19379	-65.00195	-49.03632	-90.4357	
22	-92.75851	-93.06955	0	95.95937	-65.32996	-49.71338	-89.61087	
23	-92.75851	-94.00726	0	97.13152	-65.92249	-50.39819	-88.19321	
24	-93.69623	-93.53842	0	96.66266	-65.77734	-50.10913	-87.45453	
25	-92.75851	-93.06955	0	96.19379	-64.51041	-48.16394	-87.52185	
26	-92.52408	-92.83511	0	97.36595	-61.01245	-41.06274	-92.22714	
27	-92.52408	-92.83511	0	99.00697	-56.25757	-31.88837	-98.22769	
28	-92.05524	-92.83511	0	103.2267	-48.75644	-22.25177	-105.0924	
29	-91.8208	-93.30399	0	106.5088	-41.68048	-16.24924	-107.7848	
30	-92.52408	-93.06955	0	110.0253	-36.2778	-14.11066	-106.726	
31	-92.05524	-92.83511	0	110.2597	-36.78281	-13.76852	-106.3936	
32	-92.05524	-93.06955	0	110.2597	-37.91122	-15.67184	-105.5685	
33	-92.05524	-93.30399	0	111.9007	-34.18878	-16.85968	-105.2247	
34	-92.28967	-94.00726	0	115.6516	-26.40781	-18.67383	-104.4432	
35	-92.99295	-93.53842	0	115.8861	-20.94421	-21.51804	-102.5442	
36	-91.8208	-93.06955	0	116.3549	-16.11472	-23.71564	-98.46417	
37	-91.11749	-93.06955	0	116.8238	-9.61554	-26.71301	-93.30328	
38	-89.94534	-93.06955	0	118.6993	0.9122846	-27.9711	-83.89569	
39	-89.71091	-93.06955	0	118.9337	11.19461	-24.49484	-70.21744	
40	-89.00763	-94.2417	0	120.1059	10.46876	-22.67398	-60.68027	
41	-89.71091	-93.06955	0	119.1681	8.531832	-22.021	-52.5441	
42	-89.00763	-92.83511	0	118.9337	7.929818	-18.716	-42.89502	
43	-88.77319	-92.83511	0	118.9337	6.856862	-13.60974	-32.16397	
44	-88.77319	-87.44318	0	118.6993	2.693352	-10.67038	-23.43311	
45	-88.77319	-83.22339	0	118.6993	0.7695665	-7.318451	-19.95041	
46	-88.77319	-83.22339	0	118.6993	3.279035	-3.002991	-21.30893	
47	-88.77319	-80.87909	0	118.9337	7.338698	-1.646759	-23.7095	
48	-76.5827	-81.11353	0	118.9337	10.27911	-4.104584	-34.49045	
49	-52.90509	-80.87909	0	119.4026	9.979161	-10.17078	-53.93924	
50	-42.35565	-80.87909	0	119.4026	7.512097	-12.80911	-49.56354	
51	-42.59009	-82.28568	0	123.6224	5.936507	-14.02692	-46.52533	
52	-44.23111	-81.58237	0	124.0912	7.697708	-14.69519	-47.99826	
53	-43.05896	-81.11353	0	121.278	9.285688	-14.04135	-43.07523	
54	-42.12122	-80.41022	0	99.94473	8.063784	-13.34848	-33.85889	
55	-34.61938	-78.06592	0	61.26345	3.826221	-9.898376	-20.62802	
56	-14.92709	-67.04761	0	22.11331	-1.64502	-8.481934	-0.2541504	
57	-14.92709	-67.98532	0	10.62614	-5.048523	-8.678192	11.10384	
58	-17.03699	-67.04761	0	6.171931	-3.239044	-8.102356	9.697233	
59	-13.05167	-61.1868	0	3.593181	-2.161774	-7.713837	8.036169	
60	-10.4729	-59.31134	0	0.5455658	-0.5646667	-7.419159	8.587285	
61	-9.535156	-57.43588	0	0.07670145	0.1785634	-7.245514	9.526954	
62	-4.14325	-45.71429	0	1.01443	1.740405	-7.051788	9.193193	
63	-5.315399	-35.39929	0	2.421024	4.115042	-6.953033	9.232224	
64	-5.549835	-24.84985	0	1.01443	6.537501	-7.142059	9.365087	
65	-2.971069	-23.91211	0	0.5455658	8.283631	-6.977692	9.784635	
66	-1.79892	-24.61542	0	-0.1577454	10.11785	-6.49118	9.726962	
67	-2.267792	-20.8645	0	0.3111297	10.94268	-6.038574	9.490262	
68	-2.736633	-21.09894	0	5.234203	10.79418	-5.693146	9.546582	
69	-7.190857	-17.81689	0	1.95216	10.88316	-5.39798	9.862085	
70	-3.205505	-7.03302	0	1.014431	10.67624	-4.215668	10.45072	
71	-2.971069	-2.578796	0	0.07670175	10.39652	-3.80011	10.25874	
72	-1.564484	1.17211	0	0.07670175	9.891743	-4.449066	8.522735	
73	-1.330048	1.406546	0	1.014431	9.182742	-4.781738	6.298209	
74	-1.564484	-1.172211	0	1.717723	9.011879	-5.170593	5.163877	
75	-3.439941	0.4688169	0	0.07670173	7.53467	-5.803589	5.648754	
76	-2.033356	-4.749076E-05	0	0.07670173	5.164218	-6.995331	5.450001	
77	-2.033356	0.4688169	0	0.7799946	3.651212	-7.394928	4.272561	
78	-2.736633	0.4688169	0	0.3111302	2.441385	-7.939667	3.138757	
79	-2.267792	-2.34436	0	3.593182	2.977314	-8.180817	2.257595	
80	-5.315399	-0.9377747	0	2.186588	2.778219	-8.295746	2.787567	
81	-3.439941	0.4688171	0	0.7799951	3.932866	-9.281433	3.667421	
82	-2.033356	1.406546	0	0.07670226	6.548717	-10.1684	5.628342	
83	-0.62677	1.406546	0	0.3111306	7.357741	-9.732056	8.649313	
84	-1.095612	0.4688172	0	0.3111306	7.193426	-8.340118	10.40055	
85	-2.033356	-3.516541	0	5.468639	7.41568	-5.825348	10.12308	
86	-5.784271	0.4688173	0	0.07670202	7.632257	-2.991699	8.890263	
87	-1.79892	0.2343813	0	0.3111304	7.382993	-0.005185537	7.396569	
88	-1.79892	1.17211	0	0.07670202	6.550834	1.541944	6.018511	
89	-0.8611755	0.9376817	0	0.07670202	6.581142	2.019236	5.250413	
90	-0.8611755	1.17211	0	0.3111304	6.940711	1.84822	4.7464	
91	-0.62677	-1.172211	0	1.717724	7.033494	1.549959	4.224346	
92	-2.971069	0.7032459	0	0.3111304	7.151476	1.008254	4.055585	
93	-1.79892	-4.699859E-05	0	0.3111304	7.136991	0.0852943	3.928777	
94	-1.564484	0.4688174	0	1.014431	7.2378	-0.2428284	4.595652	
95	-2.033356	0.4688174	0	0.3111303	7.579621	-0.5892944	4.002219	
96	-1.095612	-2.813232	0	3.82761	7.99077	-0.8118591	2.273577	
97	-3.908813	-1.172211	0	1.717724	7.968427	-1.031433	1.139986	
98	-2.502197	-4.731209E-05	0	0.07670195	7.638642	-1.443176	0.4888391	
99	-1.330048	0.4688171	0	1.014431	7.112117	-1.911072	0.1133213	
100	-1.79892	0.234381	0	0.07670196	7.44361	-2.157654	-0.1342773	
101	-1.095612	0.4688171	0	0.5455663	8.192954	-2.275726	-0.3146667	
102	-1.79892	-3.047668	0	4.53091	8.709383	-2.300995	-0.6014404	
103	-4.612091	-0.7033386	0	2.421024	9.259457	-2.324371	-0.9499817	
104	-1.79892	0.2343811	0	0.3111302	9.792046	-2.30722	-1.2117	
105	-1.330048	1.406546	0	0.07670178	9.963265	-2.309509	-1.366943	
106	-0.392334	-0.2344666	0	0.07670178	10.13658	-2.278381	-1.031097	
107	-1.095612	0.4688173	0	0.5455661	10.20737	-2.356354	-0.6148376	
108	-1.330048	-2.813232	0	4.999775	10.49432	-2.392059	-0.4775085	
109	-4.846527	-4.715678E-05	0	0.07670159	10.60323	-2.497375	-0.2422485	
110	-1.095612	-0.2344666	0	0.07670159	10.57923	-2.545685	-0.2526245	
111	-1.095612	1.406546	0	0.07670159	10.60173	-2.540161	-0.07376099	
112	-0.1578979	1.640974	0	0.7799945	10.77219	-2.448792	0.1624878	
113	-0.62677	0.7032455	0	0.3111301	10.73264	-2.485565	0.354479	
114	-1.330048	-1.406647	0	1.952159	10.7616	-2.489502	0.5179262	
115	-2.502197	0.4688171	0	1.01443	10.89644	-2.538513	0.6085492	
116	-1.79892	0.234381	0	0.3111299	10.89059	-2.591461	0.6024969	
