
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	2.352602	1.020317E-05	0	0.4771351	-0.166626	1.19912	-0.5022278	
1	0.2642082	0.4688644	0	0.967501	-0.06274414	0.2427208	-0.09680176	
2	-0.2046509	0.4688644	0	0.2642082	-0.3129883	0.6166978	-0.290741	
3	0.02977222	-3.047607	0	3.311823	-0.4760132	1.030356	-0.4892273	
4	-2.314545	-0.4688721	0	2.139666	-0.7492676	1.220008	-0.5219421	
5	-0.907959	0.7032925	0	0.2642081	-0.9697571	1.95934	-0.8409729	
6	0.2642083	0.2344281	0	0.7330725	-1.178802	2.336336	-1.032379	
7	0.2642083	0.4688641	0	1.201937	-1.493713	2.817252	-1.254944	
8	-0.4390869	0.2344281	0	0.4986364	-1.807739	3.206054	-1.500336	
9	0.2642083	-2.34433	0	4.952846	-1.799652	3.69648	-1.730347	
10	-3.72113	-0.9377441	0	1.670802	-1.571564	3.930506	-1.850006	
11	0.02977194	0.2344281	0	0.4986369	-1.071259	4.293195	-1.996185	
12	0.264208	1.406593	0	1.201937	-0.145752	4.766776	-2.227814	
13	0.4986364	1.172157	0	0.2642086	1.81776	4.757854	-2.472778	
14	1.201937	0.9377286	0	0.2642086	5.718767	4.211067	-2.745392	
15	0.9675009	-0.7033081	0	16.44001	16.67036	3.75991	-3.374451	
16	-1.376801	0.4688644	0	15.73672	32.84792	3.753193	6.706361	
17	-30.91525	0.2344283	0	15.03343	52.24318	1.924264	22.56095	
18	-55.99948	-11.95602	0	16.44001	69.72968	-8.805542	16.74509	
19	-55.29617	-26.02194	0	45.97845	77.17305	-58.46854	-42.75748	
20	-31.85297	-35.39923	0	69.18722	79.51287	-70.2627	-69.76132	
21	-23.64786	-35.39923	0	79.97108	82.84073	-115.0767	-120.9867	
22	-21.30353	-34.69592	0	87.00404	81.55025	-142.2736	-154.9706	
23	-20.36581	-33.99265	0	92.86485	80.22855	-151.3974	-168.9749	
24	-19.42807	-33.75821	0	97.55348	79.58554	-154.3564	-177.192	
25	-17.55261	-35.16479	0	103.6487	77.76367	-160.001	169.0158	
26	-4.658875	-35.63367	0	108.5718	74.62146	-163.2854	157.5952	
27	-4.658875	-23.67764	0	112.7916	72.66248	-162.5327	150.0548	
28	-2.783417	-18.75458	0	113.4949	72.03826	-162.7836	142.5627	
29	-3.017853	-18.75458	0	113.4949	71.75376	-165.1954	137.81	
30	-2.783417	-18.28571	0	113.4949	70.38956	-168.7442	133.0305	
31	-2.548981	-20.3956	0	114.1982	68.27435	-171.4811	129.8683	
32	-5.362152	-19.45786	0	113.7293	65.76896	-175.582	125.0419	
33	-3.017853	-12.19046	0	113.7293	62.45188	-177.5184	120.7995	
34	-2.548981	-4.68866	0	113.4949	57.76495	178.0455	113.1218	
35	-1.376801	-2.813202	0	113.4949	53.24481	175.9015	109.8365	
36	-1.376801	-2.578766	0	113.4949	49.87073	176.5816	111.9344	
37	-1.376801	-5.391937	0	113.026	48.12457	178.2048	117.26	
38	-2.783417	-17.11356	0	103.8831	45.7531	178.6224	124.4687	
39	-1.376801	-34.93036	0	91.69268	44.20414	175.8929	132.8634	
40	-2.080109	-40.3223	0	89.34837	43.75088	174.1411	137.1008	
41	-1.376801	-39.85345	0	89.58279	43.82936	174.8533	136.4387	
42	-1.376801	-41.96332	0	97.31905	42.52821	177.732	132.6096	
43	-4.658875	-40.3223	0	101.07	39.68251	179.5806	127.0073	
44	-1.845673	-39.38458	0	100.8355	36.48033	179.7942	123.2303	
45	-1.845673	-38.68127	0	100.8355	33.67852	-179.6074	122.2004	
46	-0.4390869	-41.49448	0	100.8355	31.92161	-179.4982	121.3496	
47	-1.142395	-41.0256	0	100.6011	31.26816	-179.3197	119.5048	
48	-0.4390869	-42.66663	0	101.07	31.06924	-179.4147	118.2729	
49	-2.548981	-42.66663	0	100.6011	30.87127	-178.9103	117.6445	
50	-1.376801	-42.66663	0	100.8355	30.27685	-178.4018	116.4416	
51	-1.845673	-42.66663	0	101.07	29.61122	-177.8817	114.7389	
52	-2.314545	-43.1355	0	100.8355	29.26156	-177.6819	114.1216	
53	-1.376801	-44.77652	0	102.0077	28.94214	-177.5936	114.4998	
54	-5.127716	-43.83878	0	100.6011	28.36383	-178.2557	116.5775	
55	-1.376801	-45.01096	0	100.3667	27.72135	178.3672	118.5578	
56	-1.845673	-48.76184	0	96.85019	27.14855	176.1807	122.0141	
57	-0.6735229	-53.91937	0	91.69268	26.58041	173.5005	126.7131	
58	-1.142395	-59.78015	0	87.47291	26.38117	171.5323	132.735	
59	-0.4390869	-63.7655	0	86.30075	26.90817	170.875	138.8333	
60	-2.783417	-63.53107	0	85.59746	27.4664	171.9711	143.7054	
61	-1.611237	-63.99994	0	85.83189	27.47415	173.5141	146.9594	
62	-1.376801	-66.81311	0	85.59746	27.64741	175.1861	150.6891	
63	-1.611237	-70.32959	0	83.95644	27.99438	177.3853	155.2201	
64	-1.611237	-74.08051	0	85.36303	28.58491	-179.7174	160.9688	
65	-5.596588	-74.31494	0	83.48758	28.75423	-176.5204	166.1248	
66	-1.376801	-73.61163	0	83.01871	27.81854	-172.1878	171.1805	
67	-1.376801	-73.61163	0	83.01871	26.76135	-168.2002	174.8265	
68	-0.4390869	-73.3772	0	83.25316	26.2004	-165.239	176.3156	
69	-0.907959	-73.3772	0	83.48759	24.95174	-161.7906	176.9236	
70	-1.142395	-73.84607	0	87.47293	22.74712	-157.5275	177.1135	
71	-2.783417	-73.37723	0	88.6451	20.8132	-153.7326	177.2765	
72	-1.845673	-72.43948	0	89.58282	19.97015	-151.1243	177.0805	
73	-1.611237	-69.62631	0	92.16157	19.78342	-149.0816	175.5179	
74	-1.376801	-61.89005	0	97.08464	19.36568	-147.3701	172.7733	
75	-1.845673	-54.15381	0	104.352	19.03564	-144.7556	167.1112	
76	-4.658875	-47.35529	0	106.6964	18.92269	-141.9267	162.5315	
77	-1.845673	-45.01096	0	107.8685	19.4985	-139.5378	160.2454	
78	-1.376801	-44.30765	0	108.3374	18.82661	-135.105	162.1633	
79	-0.4390869	-44.54208	0	109.744	16.67735	-132.8952	164.176	
80	-0.2046509	-44.77652	0	111.385	14.33644	-130.5611	164.6429	
81	-0.4390869	-45.4798	0	113.2605	12.42544	-128.3656	164.8891	
82	-3.017853	-44.77652	0	113.2605	11.58358	-126.3096	164.7479	
83	-1.611237	-45.01096	0	113.4949	11.38838	-123.6809	165.7956	
84	-1.376801	-44.77652	0	113.4949	10.69669	-121.0032	168.4175	
85	-1.376801	-50.16846	0	112.7916	11.12447	-121.3876	170.7721	
86	-1.845673	-61.89005	0	106.6964	12.74061	-122.3616	176.6082	
