
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-77.70386	-91.19406	0	104.4498	50.72238	-148.8615	75.68106	
1	-77.46942	-91.19406	0	104.4498	50.37092	-147.644	76.0164	
2	-77.70386	-88.14642	0	103.2777	49.78326	-146.8683	75.72636	
3	-75.35956	-90.25632	0	104.2154	50.04967	-146.9787	75.4586	
4	-76.53171	-90.02191	0	104.6843	50.23314	-146.6439	76.03545	
5	-77.70386	-89.55304	0	104.6843	49.73239	-145.433	77.43682	
6	-76.76611	-89.55304	0	104.6843	49.41558	-143.9448	78.50997	
7	-76.76611	-86.5054	0	101.4022	48.60319	-142.7979	78.83813	
8	-73.71851	-88.84973	0	103.5121	47.23779	-142.3292	78.29419	
9	-76.29727	-89.78748	0	104.6843	44.38003	-140.0933	77.53313	
10	-76.53171	-89.78748	0	104.6843	39.86742	-133.5126	77.33172	
11	-77.70386	-90.72519	0	104.6843	34.43624	-124.3143	77.0733	
12	-77.70386	-91.19406	0	104.4498	32.00679	-119.0716	75.68317	
13	-77.46942	-88.6153	0	103.2777	32.68406	-115.2107	72.10881	
14	-75.35956	-90.25632	0	104.4498	31.98879	-108.5255	68.48402	
15	-76.06284	-89.78748	0	104.6843	30.11629	-100.688	65.80544	
16	-76.76614	-90.02191	0	104.4498	30.43209	-94.92355	65.07523	
17	-76.53171	-89.55304	0	104.4498	32.28522	-91.84262	65.94713	
18	-76.53171	-86.97427	0	101.6367	34.13733	-87.67706	66.49164	
19	-73.95294	-88.6153	0	103.7465	34.43204	-81.55853	66.92339	
20	-76.53171	-90.02191	0	104.4498	32.15747	-74.31143	67.84059	
21	-76.53171	-91.19406	0	104.4498	32.0704	-72.94672	68.34261	
22	-77.70386	-91.19406	0	104.2154	34.02127	-74.49966	68.40974	
23	-77.46942	-91.19406	0	104.2154	33.50788	-75.16049	69.51944	
24	-77.23499	-88.14642	0	103.2777	31.67155	-76.0293	72.71784	
25	-75.35956	-90.25632	0	104.6843	29.76126	-74.41916	76.21796	
26	-76.53171	-90.25632	0	104.2154	24.28959	-68.12872	82.04976	
27	-76.53171	-90.02191	0	104.2154	20.58966	-62.5481	91.9866	
28	-76.53171	-90.02191	0	103.981	18.89215	-57.8205	99.3966	
29	-76.29727	-86.50543	0	103.2777	14.64008	-54.24323	104.781	
30	-74.18738	-88.84973	0	108.4352	9.612794	-56.6315	107.863	
31	-76.06284	-89.55304	0	110.7795	8.146605	-59.99692	108.8748	
32	-77.00058	-90.02191	0	110.7795	6.065411	-60.10306	107.8687	
33	-77.93829	-77.36255	0	111.0139	2.029826	-58.10757	107.3862	
34	-77.93829	-62.59335	0	111.0139	-3.303833	-57.08466	104.1936	
35	-78.17273	-52.51276	0	109.3729	-3.114471	-56.21518	100.2398	
36	-75.82843	-25.08423	0	110.7795	1.0409	-55.48758	92.28032	
37	-76.53171	-4.219788	0	110.7795	3.74097	-52.65591	73.63774	
38	-71.60864	-0.9377441	0	113.1238	6.265074	-51.70203	43.99207	
39	-34.56836	-0.7033081	0	119.6879	5.893395	-54.32874	23.54292	
40	-8.077576	-1.641022	0	116.4059	3.288845	-55.23102	14.7509	
41	-1.747894	-0.4688721	0	118.7502	3.682598	-54.15585	13.01078	
42	-0.1068726	-0.234436	0	119.4535	5.098217	-52.61508	11.16242	
43	-0.1068726	-1.867626E-07	0	120.1568	6.394842	-51.51093	7.965005	
44	0.3619899	-0.234436	0	120.1568	7.611361	-51.22787	5.299328	
45	0.3619899	-1.867626E-07	0	119.9223	7.94017	-51.39056	2.350835	
46	0.3619899	-0.4688721	0	118.0469	8.15802	-52.35443	0.9724156	
47	-0.5757446	-1.600812E-07	0	118.9846	8.980525	-52.41132	0.1636217	
48	0.1275616	-0.234436	0	85.46084	8.06734	-52.47195	2.899321	
49	-0.1068726	-0.234436	0	23.57079	3.433659	-53.59796	11.12042	
50	0.1275616	-1.600822E-07	0	21.69534	0.7312322	-55.07114	15.79482	
51	-0.1068726	-1.406586	0	17.24113	0.9346235	-55.35147	17.9873	
52	-1.044617	-0.7033081	0	-0.5757141	0.8183852	-56.1442	19.75927	
53	-0.3413086	-1.600796E-07	0	-1.513428	-0.09457397	-56.97278	20.91399	
54	0.1275615	-1.600796E-07	0	-1.278992	0.7655308	-58.08356	19.6495	
55	0.3619899	0.2344282	0	-0.8101501	1.130363	-59.14844	16.91845	
56	0.3619899	-1.600822E-07	0	-1.278992	1.101416	-60.13071	15.02292	
57	0.3619899	-0.4688721	0	-0.3412781	0.4210401	-60.54248	14.22661	
58	-0.5757446	-0.234436	0	-0.8101501	-0.7898254	-60.86618	14.33419	
59	-0.1068726	-0.234436	0	-1.278992	-1.357544	-61.0191	14.03125	
60	-0.1068726	-0.234436	0	-1.278992	-0.728302	-60.51779	13.61581	
61	0.1275615	-0.234436	0	-1.278992	0.4036278	-59.90344	13.47358	
62	0.1275615	-1.17218	0	-0.3412781	-0.07769775	-59.74246	13.38289	
63	-1.279022	-0.4688721	0	-0.3412781	-0.8703918	-59.89172	12.76342	
64	-0.3413086	-2.134416E-07	0	-1.278992	-1.36319	-60.2652	12.08238	
65	-0.1068726	0.2344282	0	-1.044586	-1.567932	-60.39346	11.9246	
66	0.3619897	0.2344282	0	-1.044586	-0.9938965	-59.9986	12.05966	
67	0.3619897	0.2344282	0	-1.044586	-0.6682739	-59.54861	12.48139	
68	0.1275613	-0.4688721	0	-0.106842	-1.563416	-59.7901	12.2616	
69	-0.3413086	-0.234436	0	-1.278992	-1.824036	-59.81686	10.82827	
70	0.1275613	-0.234436	0	-1.278992	-1.23349	-59.51962	10.42406	
71	0.1275613	-2.401233E-07	0	-1.044586	0.3090138	-58.85596	10.67181	
72	-0.1068726	-0.4688721	0	-1.278992	2.322933	-58.29987	11.26421	
73	0.1275613	-1.17218	0	-0.106842	2.603633	-58.46497	11.40462	
74	-1.044617	-0.7033081	0	0.1275842	2.131317	-58.71298	11.05449	
75	-0.5757446	-0.234436	0	-1.044586	1.902125	-58.86212	10.73815	
76	-0.1068726	-2.795106E-07	0	-1.278992	1.956593	-58.53839	10.72256	
