All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-11-05_17:02:53	0	Presets_dockPreset_2	True	27.16871	96.59268	71.20424	85.6552	90	90	0	89.99999	87.34598	73.51251	166.3635	30.09524	0.66358	6317.619	98.69592	112.9963	0	505.6699	167.1832	2913.203	2519.871	30	10	4	1	3	13	0	0	
	3	2018-11-05_17:03:21	0	Presets_dockPreset_1	True	19.10782	98.23004	99.59109	98.15017	1.611493E-43	150	0	150	44.39508	143.5496	120.5467	65.28799	0.6761016	1323.359	182.6225	146.9889	0	342.5051	72.46783	145.9995	432.776	39	18	1	1	1	8	7	5	
	5	2018-11-05_17:03:38	0	Presets_dockPreset_4	True	11.89043	97.71883	99.94421	98.0854	110	38.27805	0	1.611493E-43	36.94092	33.1344	110.532	78.07254	0.3654281	1311.44	186.139	182.3881	0	120.2214	113.5284	155.7818	553.382	70	8	28	1	27	0	5	3	
	7	2018-11-05_17:04:01	0	Presets_dockPreset_3	False	16.42728	90.49919	95.847	91.14127	110	113.2975	0	135	27.53699	162.654	113.018	72.57039	0.7350071	989.1561	291.8679	235.6042	0	186.8423	35.35004	74.3579	165.1343	23	4	4	1	4	4	0	7	
	9	2018-11-05_17:04:17	0	Presets_dockPreset_5	True	9.729965	98.92857	95.32561	96.14646	1.611493E-43	0	0	89.99999	58.67905	172.908	73.44983	79.32269	0.4389298	2337.85	44.07321	63.7655	0	288.1169	35.94227	1031.19	874.7629	28	3	3	1	22	2	0	0	
	11	2018-11-05_17:04:41	0	Ltd Random	True	14.85954	91.03835	35.60548	66.08027	30	69.52753	0	150	90	0	0	88.80054	0.3772528	1182.733	0	98.46144	0	251.0767	45.24056	212.1791	575.7759	6	0	2	1	0	2	2	2	
	13	2018-11-05_17:05:03	0	Presets_dockPreset_1	False	16.8432	97.43654	94.29973	95.32294	1.611493E-43	150	0	150	21.89899	179.9908	44.71563	81.39323	0.6073394	779.3339	210.9888	143.4724	0	197.6262	2.003459	72.67485	152.5682	12	3	2	1	0	0	0	8	
	15	2018-11-05_17:05:28	0	Presets_dockPreset_2	True	18.28326	96.69313	88.30537	92.62726	90	90	0	89.99999	87.63951	150.3634	72.94251	59.04679	0.6454949	3016.14	64.93768	89.0842	0	610.4609	49.63754	1051.534	1150.487	30	2	2	1	0	8	10	8	
	17	2018-11-05_17:05:49	0	Presets_dockPreset_4	True	12.93667	88.98148	94.15127	89.55042	110	37.23071	0	1.611493E-43	34.90287	57.96924	170.4683	85.68689	0.4561901	943.8652	155.4284	110.183	0	410.4904	16.38102	25.32968	226.0526	18	0	0	1	5	0	2	12	
	19	2018-11-05_17:06:10	0	Presets_dockPreset_3	False	11.49143	89.87561	74.86372	82.26903	110	113.262	0	135	37.77377	5.854683	177.5322	84.92926	0.6438029	891.75	71.97063	160.3515	0	405.8019	11.38873	21.66251	220.575	6	0	2	1	0	0	2	2	
