
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-89.78748	-90.95963	0	35.39923	30.71677	179.6903	91.04304	
1	-90.02191	-90.95963	0	34.4615	30.80447	179.6562	91.06205	
2	-89.78748	-90.95963	0	33.99264	30.51866	179.4275	91.05777	
3	-89.78748	-90.95963	0	33.99264	30.54778	179.345	91.11373	
4	-89.78748	-90.95963	0	33.99264	30.75415	179.4755	91.07683	
5	-90.02191	-91.19406	0	35.39923	30.53199	179.5419	90.6226	
6	-90.02191	-90.95963	0	34.22707	29.86834	179.7261	89.58218	
7	-89.78748	-90.95963	0	34.22707	28.3986	-179.6021	85.92271	
8	-85.80212	-90.95963	0	33.99264	27.14528	-179.0018	75.14146	
9	-72.43951	-90.95963	0	33.99264	26.89482	-178.0589	61.12412	
10	-49.93402	-91.4285	0	37.74355	26.96529	-177.1483	41.13626	
11	-32.58606	-91.19406	0	34.93037	25.59448	-179.4203	26.3713	
12	-16.64468	-90.95963	0	34.46151	22.56111	177.6733	15.20445	
13	-7.267395	-90.95963	0	22.97433	20.73698	176.7018	7.553181	
14	-1.641022	-90.72519	0	0.703289	17.91284	178.0479	9.75537	
15	-0.7033081	-90.72519	0	0.703289	16.49002	-176.6328	15.24464	
16	-0.4688721	-91.19406	0	2.344318	14.78238	-170.8029	20.63805	
17	-3.047638	-90.72519	0	0.4688604	11.64351	-165.0023	23.94354	
18	-1.641022	-90.72519	0	0.4688604	10.86988	-157.1728	25.80071	
19	-1.641022	-90.95963	0	0.7032887	9.852072	-151.271	24.84697	
20	-1.406586	-90.95963	0	1.172153	10.09161	-146.1799	21.4401	
21	-2.109894	-91.66293	0	4.923069	11.44731	-138.8829	20.20565	
22	-5.626373	-90.95963	0	2.578747	13.45427	-136.0816	18.95831	
23	-2.578766	-90.72519	0	0.9377249	12.72444	-126.7913	14.74431	
24	-0.9377441	-90.95963	0	0.703289	12.97923	-112.7172	7.00015	
25	-1.013822E-05	-90.72519	0	0.4688605	14.39732	-98.80118	0.8875414	
26	0.2344259	-90.72519	0	0.7032889	18.72789	-87.21594	3.232341	
27	0.2344259	-91.19406	0	2.578747	22.0055	-77.70428	6.535773	
28	-2.109894	-90.95963	0	1.641018	19.19839	-65.34027	4.728974	
29	-1.406586	-90.95963	0	0.9377248	16.38156	-53.19214	3.425382	
30	-1.17218	-90.95963	0	0.9377248	17.34853	-41.24429	9.288753	
31	-0.9377441	-90.95963	0	1.641018	21.17723	-32.00171	13.52258	
32	-1.641022	-91.42847	0	4.688633	21.05943	-24.0744	10.03287	
33	-5.626373	-91.19406	0	3.516476	21.36509	-22.78418	2.908462	
34	-2.813202	-90.95963	0	1.172153	19.07154	-18.81689	-0.976532	
35	-1.641022	-90.95963	0	0.937725	15.36737	-11.91342	-3.084351	
36	-1.056437E-05	-84.39551	0	1.641018	12.72649	-11.27509	-5.789368	
37	-0.234436	-25.31866	0	0.937725	11.90595	-11.67514	-6.518463	
38	0.2344254	-3.750916	0	6.564091	8.430795	-11.24316	-6.327393	
39	-2.813202	-2.34433	0	0.9377247	8.070597	-11.50742	-6.299561	
40	-1.066895E-05	-2.109894	0	1.641018	10.2312	-11.5459	-6.461884	
41	-0.234436	-2.109894	0	0.9377247	12.28739	-9.738678	-7.118683	
42	-1.067215E-05	-1.17218	0	0.7032887	14.0794	-6.36734	-4.82074	
43	-1.067215E-05	-0.234436	0	0.9377247	14.97274	-3.452789	-1.571381	
44	-1.067215E-05	-2.34433	0	2.578747	14.47633	-1.095062	-0.4501038	
45	-1.641022	-0.4688721	0	0.9377248	14.1973	0.2312619	1.465696	
46	-1.067108E-05	0.2344193	0	0.9377248	13.72513	-1.284668	1.870177	
47	0.9377182	-0.7033081	0	1.172153	13.69435	-4.16626	2.273294	
48	-0.234436	-0.4688721	0	1.641018	13.4069	-5.853729	2.270864	
49	-0.7033081	-3.985352	0	6.095226	13.16876	-5.703003	3.924878	
50	-4.68866	-1.641022	0	2.578747	11.2819	-4.704132	6.184087	
51	-6.329681	-0.234436	0	0.937725	8.38933	-3.143646	7.986336	
52	-16.87912	0.9377199	0	0.703289	4.864673	-2.93634	5.705029	
53	-15.70694	0.4688556	0	0.703289	5.487839	-2.877106	4.089348	
54	-15.70694	0.9377199	0	0.937725	3.664502	-2.359985	4.008673	
55	-15.70694	-4.219788	0	2.813183	3.653344	-1.953003	2.102323	
56	-17.34796	-16.87912	0	0.703289	3.656175	-2.148315	1.089835	
57	-6.798523	-22.97433	0	0.703289	2.561728	-2.764587	0.4824754	
58	-2.109894	-22.73993	0	1.406589	1.45745	-1.852509	0.4135108	
59	-1.17218	-22.50549	0	1.406589	1.125824	-1.863892	0.184847	
60	-0.9377441	-16.87912	0	5.860798	1.112428	-2.146027	0.2641129	
61	-4.219788	-7.267395	0	3.282048	0.7724025	-2.389526	0.416382	
62	-2.109894	-5.626373	0	1.40659	0.6908484	-2.372131	0.4975393	
63	-1.17218	-4.68866	0	0.9377255	0.6969449	-2.361176	0.5619173	
64	0.4688529	-6.095245	0	0.7032896	0.6478086	-2.359619	0.6401328	
65	-0.7033081	-6.329681	0	0.7032896	0.5430264	-2.319763	0.6579108	
66	-0.4688721	-9.611725	0	5.391934	0.5264235	-1.449188	0.6241881	
67	-4.454224	-6.095245	0	2.344319	0.4603882	-0.4664001	0.591881	
68	-0.4688721	-5.860809	0	0.9377258	0.3960589	1.759063	0.5784082	
69	-0.4688721	-5.391937	0	0.9377258	0.363108	2.968237	0.5684966	
70	-0.7033081	-4.219788	0	0.7032899	0.3342338	3.884087	0.5483775	
71	0.2344243	-5.860809	0	0.7032899	0.3357026	3.885042	0.580748	
