All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-11-07_09:22:06	1	Presets_dockPreset_1	False	6.077832	95.32149	60.36809	80.24522	0	150	0	150	88.91647	149.3385	20.34118	84.03526	0.6206625	1764.427	250.1389	167.15	0	286.2415	75.19794	504.9044	480.7947	5	5	0	1	0	1	0	0	
	2	2018-11-07_09:22:09	1	ZEROING DATA	True	2.824618	99.38136	98.72777	98.92206	0	1.049283E-25	0	3.953001E-12	0	0	0	100	4.392223E-15	1676.356	3.51651	332.8935	0	368.0582	160.3097	108.1205	703.4579	8	3	1	1	3	1	0	1	
	3	2018-11-07_09:22:19	1	Ltd Random	False	9.493073	91.14485	58.05433	76.29391	30	108.5659	0	150	90	90	0	90.92204	0.5206288	794.3472	88.14648	155.194	0	188.0144	80.71842	106.6415	175.6325	1	0	0	1	0	0	0	2	
	4	2018-11-07_09:22:21	1	ZEROING DATA	True	2.004282	99.54416	97.04013	98.37709	4.944403E-09	2.862015E-18	0	2.353088E-08	0	0	0	100	3.16392E-11	1177.609	161.1704	181.9192	0	340.7486	152.8572	34.61786	306.2956	7	3	1	1	1	1	0	1	
	5	2018-11-07_09:22:33	1	Ltd Random	True	11.9291	95.84858	94.47549	93.87753	90	90	0	30	4.695755E-06	150	150	74.46917	0.5666667	2412.531	238.4174	179.5749	0	599.9115	112.084	221.5169	1061.026	18	2	2	1	3	2	2	8	
	6	2018-11-07_09:22:36	1	ZEROING DATA	True	2.818674	99.25111	99.70667	99.37299	2.207583E-12	5.494555E-26	0	7.480819E-13	0	0	0	100	3.284072E-15	1794.651	199.681	212.1609	0	101.7986	155.1961	557.1058	568.7093	8	1	1	1	3	1	1	1	
	7	2018-11-07_09:22:44	1	Ltd Random	False	8.615416	95.2327	91.30243	93.26379	30	107.7512	0	150	30	180	180	71.86398	0.7530569	1774.699	158.9448	223.6482	0	176.7617	125.7576	876.2239	213.3629	22	5	2	1	0	9	2	4	
	8	2018-11-07_09:22:47	1	ZEROING DATA	True	2.825722	99.44648	98.65228	99.05792	7.628975E-13	6.985349E-26	0	3.738148E-12	0	0	0	100	5.001162E-15	1776.587	76.20996	287.4137	0	280.83	155.9209	340.2121	636.0003	9	1	3	1	1	1	0	3	
	9	2018-11-07_09:22:53	1	Ltd Random	False	5.428678	85.26999	50.08547	69.78799	30	30	0	90	90	150	0	91.05808	0.4333333	1120.653	198.7983	188.4833	0	171.6042	75.49136	183.7361	302.5392	9	6	0	1	0	2	0	2	
	10	2018-11-07_09:22:56	1	ZEROING DATA	True	2.890091	99.01335	98.91299	98.92893	3.812953E-13	4.848487E-27	0	1.135755E-12	0	0	0	100	1.685612E-15	1072.07	3.282051	167.8533	0	232.8264	156.3104	186.8571	324.9402	4	1	1	1	1	1	0	1	
	11	2018-11-07_09:23:14	1	Presets_dockPreset_2	False	17.68615	97.85371	95.72692	96.52207	90	90	0	90	0.2798462	99.36685	86.51581	67.87312	0.5068472	1769.957	260.409	427.1351	0	621.9481	49.38468	91.06329	320.0178	56	2	13	1	7	18	10	7	
	12	2018-11-07_09:23:16	1	ZEROING DATA	True	2.051338	98.59991	99.5267	98.88242	6.60855E-09	5.05402E-19	0	6.60855E-09	0	0	0	100	1.468567E-11	1008.053	198.2136	169.9632	0	201.493	52.04149	172.7826	213.5594	11	0	0	1	3	3	1	5	
