
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-0.4667053	1.875397	0	-0.9355774	-0.304718	-0.004970302	-0.06713867	
1	0.3015953	-0.9377136	0	1.708189	-0.4017029	-0.009552002	0.06504456	
2	-0.6361389	-0.234436	0	1.004896	-0.4599304	-0.01800537	0.08618688	
3	-0.1672668	0.2344359	0	0.3015952	-0.5067749	-0.015625	0.1887999	
4	0.3015952	-0.234436	0	0.5360313	-0.529541	-0.01651001	0.1630736	
5	0.06716682	0.2344359	0	0.3015953	-0.5466919	-0.01623535	0.1782542	
6	0.3015952	-6.73342E-08	0	0.3015953	-0.5714417	-0.01626587	0.1848595	
7	0.3015952	-0.234436	0	0.5360313	-0.5790405	-0.01657104	0.1762841	
8	-0.4017029	-0.234436	0	0.06716695	-0.5256042	-0.02212524	0.2365408	
9	0.06716677	-0.234436	0	0.06716695	-0.5133972	-0.02029419	0.3021932	
10	0.3015952	-8.004111E-08	0	0.5360313	-0.4318848	-0.01605225	0.4288588	
11	0.06716681	-8.004111E-08	0	0.3015953	-0.4171143	-0.02023315	0.584233	
12	-0.1672668	-0.9377441	0	1.942625	-0.4332886	-0.02047729	0.5832503	
13	-1.10498	-0.4688721	0	0.7704595	-0.3953552	-0.01882935	0.6261227	
14	-0.1672668	-2.388556E-07	0	4.05251	-0.3157959	-0.06530762	0.6650016	
15	0.06716684	0.2344358	0	5.459104	-0.07843018	-0.3963013	1.144353	
16	0.06716684	-2.401233E-07	0	5.224668	0.1876239	-1.259277	1.671219	
17	0.06716684	-2.401233E-07	0	5.224668	1.256703	-2.384369	3.442854	
18	0.06716684	-0.9377441	0	6.865689	1.28008	-2.616119	4.828265	
19	-1.573853	-6.564087	0	1.004895	2.424228	-1.606628	11.20606	
20	-10.48227	-8.439545	0	0.5360307	6.271323	-1.315369	19.71878	
21	-14.93649	-12.4249	0	0.06716631	10.93227	-0.8166809	22.11966	
22	-16.34308	-1.641022	0	0.06716631	18.70284	1.741245	22.09592	
23	-16.10864	-0.7033081	0	0.06716631	30.9995	3.209258	26.59584	
24	-19.62512	-1.406586	0	1.004895	48.65765	9.057379	39.33917	
25	-37.20752	-1.17215	0	0.5360308	65.84033	35.75685	75.352	
26	-60.18185	-1.17215	0	9.913313	69.42486	80.7253	128.423	
27	-70.96573	-10.78387	0	22.10377	65.9857	97.76934	145.7428	
28	-71.90347	-23.20877	0	22.10377	65.89311	112.3878	164.0895	
29	-72.60675	-41.0256	0	23.27593	62.69698	137.4956	-166.9502	
30	-72.13791	-52.04388	0	26.55798	59.76407	140.5954	-159.9831	
31	-72.60675	-57.20142	0	26.79241	58.05468	135.6925	-158.4281	
32	-74.71664	-56.96698	0	29.60559	56.97077	139.1387	-154.8809	
33	-75.18552	-57.20142	0	35.70082	54.81396	144.9579	-154.2175	
34	-74.95108	-57.20142	0	37.34186	52.24293	152.7667	-150.7551	
35	-75.18552	-56.96698	0	40.15503	50.91053	156.9229	-149.9325	
36	-74.71664	-56.96698	0	42.26493	54.22412	161.3839	-147.7563	
37	-76.35767	-57.20142	0	42.03049	53.74467	164.0132	-145.7807	
38	-76.5921	-61.4212	0	41.09276	51.98776	163.392	-145.0777	
39	-76.82654	-65.17209	0	41.79606	50.55933	161.8293	-145.2584	
40	-77.76428	-64.93765	0	42.03049	49.70729	160.874	-144.7128	
41	-85.73495	-64.70325	0	32.65321	49.36256	159.1203	-139.3886	
42	-106.5994	-58.84244	0	16.71183	51.4445	158.4832	-126.4602	
43	-119.0243	-58.84244	0	12.25762	51.55161	160.0701	-120.2859	
44	-119.962	-58.37357	0	7.100125	51.7415	161.6104	-116.5542	
45	-121.1342	-52.98163	0	6.162395	51.05541	162.1326	-114.8969	
46	-122.7752	-44.77652	0	5.224668	50.64173	161.5524	-113.4406	
47	-131.6836	-38.68127	0	0.5360301	51.37665	162.2549	-107.3695	
48	-138.951	-38.91571	0	0.06716571	50.93803	163.2143	-104.6612	
49	-141.5298	-38.44684	0	0.3015941	51.46691	165.3671	-100.9742	
50	-142.4675	-38.2124	0	0.5360301	51.77192	166.4805	-99.12067	
51	-142.7019	-37.74353	0	0.3015941	51.79844	167.1269	-99.39688	
52	-143.4052	-35.63367	0	0.7704585	52.60265	167.7792	-99.18719	
53	-142.4675	-33.99265	0	0.3015942	52.92031	169.3786	-99.00903	
54	-143.6397	-33.99265	0	0.5360302	52.27036	170.5339	-97.76385	
55	-143.4052	-33.99265	0	0.3015942	52.3289	170.8246	-97.32678	
56	-143.4052	-33.99265	0	0.3015942	52.86372	170.4071	-96.68274	
57	-143.4052	-33.99265	0	0.3015942	53.21663	168.6751	-95.01416	
58	-142.9364	-33.99265	0	1.004895	54.01666	165.3882	-94.33243	
59	-142.4675	-33.99265	0	-0.1672668	54.12527	162.4281	-92.89563	
60	-143.4052	-33.99265	0	0.06716574	53.87181	160.5873	-92.21326	
61	-143.4052	-33.99265	0	0.06716574	54.41613	158.5118	-91.25165	
62	-143.4052	-33.99265	0	0.5360301	55.21286	156.239	-90.44507	
63	-143.1708	-34.22708	0	1.473759	55.5573	153.6038	-91.33582	
64	-142.2331	-34.22708	0	1.004895	55.41339	153.766	-91.46841	
65	-142.7019	-33.99265	0	0.06716583	55.81877	151.7106	-92.4046	
66	-142.9364	-33.75821	0	0.3015942	56.54592	147.5563	-95.99265	
67	-143.8741	-33.28934	0	0.06716584	56.5614	144.9618	-97.95175	
68	-143.4052	-26.49081	0	0.3015942	56.56358	141.1399	-103.6307	
69	-143.4052	-24.14648	0	1.473759	56.17098	137.9473	-106.8835	
70	-141.7642	-23.44321	0	0.7704587	55.97571	135.8413	-107.0142	
71	-142.7019	-20.16116	0	0.3015944	55.65372	135.953	-107.5146	
72	-143.1708	-12.89377	0	4.286938	55.57036	135.7988	-109.8498	
73	-143.8741	-7.736267	0	7.100125	55.06274	134.6469	-112.2337	
74	-143.8741	-2.109894	0	15.30524	55.5543	135.4347	-113.7458	
75	-143.4052	-1.641022	0	21.86934	55.63042	138.0619	-111.9534	
76	-141.2953	-4.357446E-07	0	23.27593	55.92816	137.9655	-110.5074	
77	-143.4052	-4.357446E-07	0	24.44809	55.3835	135.6992	-109.8875	
78	-143.4052	0.2344356	0	25.15139	54.13064	137.8779	-107.5933	
79	-143.8741	-0.234436	0	25.38582	54.94136	136.3792	-108.0332	
80	-143.4052	-4.002056E-07	0	28.66786	54.72878	133.3078	-109.7083	
81	-139.4199	-8.908417	0	39.68617	54.59209	130.9904	-113.9099	
82	-130.0426	-20.63	0	50.00118	54.37466	126.7514	-120.9111	
83	-119.2587	-31.88275	0	63.3638	54.20466	124.021	-130.2616	
84	-103.5518	-34.69592	0	68.52131	54.68795	122.5806	-137.3841	
85	-97.69098	-35.16479	0	70.16233	54.77458	122.2627	-139.2649	
86	-96.98767	-36.33698	0	47.42243	54.65505	122.2345	-139.4588	
87	-96.28439	-39.38458	0	0.7704656	54.80898	121.6442	-139.5287	
88	-96.75323	-41.72888	0	69.45905	55.04198	120.8425	-139.9887	
89	-96.98767	-44.07321	0	52.11107	54.73156	120.9051	-139.8649	
90	-96.98767	-45.71423	0	69.9279	54.77903	120.7402	-140.1321	
91	-96.75323	-46.88641	0	63.59825	55.28744	120.0274	-140.9226	
92	-96.04996	-50.63733	0	71.80337	55.41631	118.9783	-142.6052	
93	-92.29904	-56.26367	0	71.56894	54.6842	117.4544	-144.2767	
94	-89.017	-59.31128	0	66.88029	54.46764	116.177	-145.0546	
95	-87.84482	-59.31128	0	81.64951	54.71028	113.6672	-148.3968	
96	-83.8595	-59.31128	0	87.04145	54.86922	110.982	-154.5787	
97	-80.10858	-59.31128	0	87.51031	54.8697	109.186	-156.2681	
98	-80.34299	-59.31128	0	87.51031	54.53203	108.148	-156.1707	
99	-79.63971	-60.01459	0	87.51031	54.36977	107.6072	-156.3347	
100	-80.10858	-60.7179	0	87.27588	53.97296	106.5306	-155.7885	
101	-80.10858	-60.95233	0	87.51031	53.85762	106.1272	-157.0748	
102	-79.40527	-60.7179	0	90.32349	53.18171	104.2605	-158.4182	
103	-78.23312	-60.48346	0	90.08907	53.15462	103.8418	-159.0262	
104	-77.29541	-60.7179	0	90.32349	52.92033	103.3124	-159.6571	
105	-76.82654	-60.7179	0	92.66782	52.9075	101.823	-160.7965	
106	-75.18552	-60.7179	0	96.1843	52.93327	99.41776	-162.8832	
107	-74.71664	-54.62265	0	97.12203	53.1776	97.37687	-164.6495	
108	-74.95108	-45.71423	0	96.8876	53.03955	97.10641	-164.6075	
109	-74.71664	-39.61902	0	96.65318	53.66038	95.96912	-165.0603	
110	-74.01337	-34.46152	0	97.12203	53.93171	96.60762	-164.1944	
111	-74.71664	-34.46152	0	97.82533	54.59529	95.74615	-164.4678	
112	-74.01337	-34.22708	0	100.8729	54.5372	94.29167	-167.1195	
113	-66.04266	-34.46152	0	101.8107	53.15495	91.32768	-172.6098	
114	-61.58847	-34.46152	0	102.0451	54.04969	91.61192	-172.3561	
115	-61.58847	-27.66296	0	101.8107	52.10742	92.75247	-169.2841	
116	-61.35403	-21.80219	0	101.8107	52.93481	93.04478	-167.9278	
117	-62.76062	-20.63	0	101.8107	52.44583	92.67246	-166.1815	
118	-66.04266	-18.52014	0	101.8107	52.61065	92.76362	-165.5917	
119	-70.49689	-16.17581	0	101.5762	52.91301	92.4905	-164.7815	
120	-74.01337	-16.41025	0	101.1074	53.18531	92.96029	-163.5223	
121	-76.82654	-14.06592	0	98.9975	54.03786	93.06261	-161.6942	
122	-81.7496	-11.25275	0	97.12204	54.05181	94.16257	-158.3917	
123	-85.03165	-9.846161	0	97.12204	53.88515	94.55058	-157.2252	
124	-85.96939	-9.377289	0	97.12204	54.35345	94.63744	-157.4469	
125	-86.43823	-8.908417	0	97.35647	54.17227	94.85297	-157.4792	
126	-86.20383	-7.736267	0	96.65318	54.30325	94.5872	-157.8126	
127	-85.50052	-2.813171	0	97.35647	54.21286	94.30848	-157.4493	
128	-88.07928	-0.4688721	0	96.8876	54.24212	94.18698	-156.4245	
129	-89.48587	-5.122599E-06	0	95.94987	53.68521	93.09784	-155.9994	
130	-90.18915	-5.122599E-06	0	95.94987	54.20581	92.13497	-156.6405	
131	-90.42358	-5.122599E-06	0	95.48101	53.66877	91.6852	-156.1473	
132	-90.18915	-0.4688721	0	95.01215	53.67104	91.60107	-156.1359	
133	-89.72028	-5.122599E-06	0	94.54328	53.68798	92.14418	-155.9207	
134	-89.95471	-0.234436	0	94.07442	53.66759	91.92931	-155.7055	
135	-90.18915	-5.122631E-06	0	93.83999	53.87175	91.4679	-155.6094	
136	-90.18915	-5.122631E-06	0	93.83999	54.22478	91.2427	-156.1314	
137	-90.18915	-0.7033081	0	93.60556	54.40377	91.36858	-156.1372	
138	-89.25143	-0.234436	0	93.83999	54.56108	90.87922	-156.1196	
139	-90.18915	-0.234436	0	94.07442	54.4964	89.68565	-156.1426	
140	-90.18915	0.2344308	0	93.83999	54.50938	89.66334	-156.3361	
141	-90.42358	0.2344308	0	93.83999	54.43147	88.84808	-156.4003	
142	-90.42358	0.2344308	0	93.83999	54.41257	87.82863	-156.53	
143	-90.42358	-0.4688721	0	93.83999	54.03458	87.26788	-156.2975	
144	-89.72031	-5.22932E-06	0	93.83999	53.82565	86.48151	-156.4118	
145	-89.95471	-0.4688721	0	93.83999	53.62728	85.93061	-156.4277	
146	-89.95471	-0.234436	0	94.07443	53.49789	86.00413	-156.2375	
147	-89.95471	-5.202672E-06	0	93.84	53.31493	85.34995	-156.2361	
148	-89.95471	-0.4688721	0	93.60557	53.30933	85.16704	-156.3112	


Angle MV instances
Rotate	8.908417	4.454224	3.516479	17.5824	22.97433	10.78387	2.109894	7.970673	20.86444	12.4249	8.908417	7.267395	2.578751	2.109879	2.109879	3.985352	9.377274	10.78387	15.70695	5.860779	3.750916	3.282043	3.985321	3.750916	7.970703	4.454193	3.282043	4.454224	3.516479	2.813171	4.923065	3.282043	2.578766	
ChildRotate	5.626343	3.985352	10.78387	9.611725	12.4249	17.81683	11.01828	5.157532	4.219788	3.750885	5.860809	5.391937	8.205109	6.095245	2.109863	6.798523	2.34433	3.282043	7.267395	5.157501	5.626373	8.908417	11.72159	11.25275	2.813171	3.047607	2.344299	2.34433	3.750916	5.626343	3.047607	6.095245	8.908417	6.095215	5.157501	6.798553	5.860779	2.109863	2.34433	2.34433	2.813171	4.923096	2.344299	
RotateInverse	
ChildRotateInverse	3.282051	5.860794	9.377282	12.19046	3.282049	2.813183	6.095226	2.813171	2.109898	9.377281	15.94138	4.454209	5.1575	4.688637	3.985344	2.813187	8.205114	6.564103	3.28204	11.01831	10.31501	13.36263	5.157505	22.7399	46.65197	68.68858	17.34798	17.81683	6.329655	8.20512	4.688644	14.76922	5.391937	2.813187	2.344322	3.516487	3.047615	2.109886	
Docking x	3.847095	4.660944	7.77057	12.29667	17.65814	17.18269	3.584526	3.439156	3.196129	2.932911	2.156811	2.571033	3.313595	2.081947	
Docking y	5.848121	26.69947	44.96845	17.04404	14.61842	25.10786	3.099823	4.902908	3.446121	5.819229	7.808853	4.156143	4.461044	2.629272	2.152863	3.286911	2.960159	2.075516	2.272812	2.635178	2.055435	4.154312	2.594482	3.821899	3.192627	2.105972	2.627197	2.266312	2.178711	3.071396	2.317444	4.238976	2.730392	2.509827	2.685181	2.405273	2.040886	2.963989	
Docking z	6.377798	8.512713	2.400881	4.499922	12.74333	36.01283	53.07104	17.31975	18.34671	331.0397	6.967117	3.547195	3.462387	2.176193	5.324234	12.92841	6.174225	3.73175	6.071075	2.708313	3.687012	3.588043	5.678925	3.252838	2.335251	2.38382	2.294174	4.201569	7.001175	9.350525	7.122452	3.342209	6.1819	2.086777	2.651733	5.490265	3.072037	3.302429	
Total MV Amount	1807.201


Angle TRE instances
Rotate	
ChildRotate	47	68	84	89	109	115	
RotateInverse	1	
ChildRotateInverse	1	15	19	26	47	73	87	88	
Docking x	
Docking y	
Docking z	51	68	
Total TRE Count	15


Correct Angles	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z
	-110	-37.9451	0	5.174111E-39	-44.4736	-49.17548	-94.97076

Angle Error	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z
	20.51413	37.47623	0	93.84	97.92477	133.6472	61.56081

Time Taken	Hours	Minutes	Seconds	Milliseconds	Seconds float	Completion time
	0	0	8	763	8.76308	00h:00m:08s:763ms

Final Results	Tester Name	Time of Test	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Efficiency %	Difficulty	Total MV	Total TRE	
