
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	0.07109564	-0.234436	0	0.07109809	-0.6678467	0.4297604	-0.4994202	
1	0.4944399	2.355381E-08	0	0.4944399	-0.009277344	0.3269734	-0.1515808	
2	0.4944399	-0.234436	0	0.9633043	-0.430603	0.5692407	-0.3895874	
3	0.02557549	2.668037E-08	0	0.2600039	-1.45578	0.6895494	-1.433197	
4	0.2600039	2.668037E-08	0	0.7288683	-4.952606	0.9900576	-3.211212	
5	0.2600039	-1.17218	0	0.49444	-9.260559	1.571891	-5.844177	
6	0.2600039	-40.79117	0	0.2600039	-9.863617	3.038252	-3.331207	
7	0.2600039	-55.7948	0	0.49444	-3.192871	6.327007	12.62399	
8	-18.96344	-59.07687	0	1.197733	1.493951	12.55579	31.86225	
9	-44.75095	-60.01459	0	0.49444	3.739638	20.06693	49.29214	
10	-67.95972	-61.4212	0	0.49444	6.12009	29.26509	67.94205	
11	-89.99631	-60.7179	0	0.2600039	5.983579	37.51701	85.60166	
12	-104.2967	-60.48346	0	0.49444	6.457062	42.04036	94.31352	
13	-113.6739	-58.60803	0	2.135462	8.432567	45.95702	95.85999	
14	-110.3919	-59.54575	0	1.197733	10.38452	48.31244	94.58538	
15	-114.1428	-60.24902	0	0.4944401	11.74617	49.61834	93.97929	
16	-115.0805	-61.4212	0	4.479784	12.3911	50.417	93.84153	
17	-117.4248	-59.07687	0	11.98161	12.93619	50.83725	91.55889	
18	-120.238	-45.01096	0	25.34423	12.17496	50.05356	84.90905	
19	-120.238	-24.38095	0	43.39549	12.16746	49.47277	71.21475	
20	-116.956	-15.2381	0	50.89732	13.64507	46.41714	52.62504	
21	-118.597	-13.1282	0	59.33687	14.56976	43.21712	40.13752	
22	-118.597	-9.377289	0	72.93393	15.81527	43.04348	22.22001	
23	-107.8131	-9.377289	0	80.67018	15.72994	42.35824	3.187548	
24	-97.49811	-9.846161	0	86.99986	16.96069	44.06599	-6.778046	
25	-93.98163	-38.6813	0	86.76543	18.20351	47.13772	-3.126465	
26	-93.27832	-58.13916	0	82.07678	17.64095	45.76854	1.60365	
27	-91.87177	-59.07687	0	81.84235	14.08562	44.57936	1.428476	
28	-92.57504	-59.07687	0	82.07678	11.32553	46.01572	0.9212983	
29	-88.35529	-63.76553	0	85.59326	8.609202	46.82741	-5.381226	
30	-81.3223	-68.92303	0	90.51634	7.502978	46.1586	-13.21991	
31	-72.41388	-74.31497	0	97.78372	6.116279	46.92474	-20.84064	
32	-68.8974	-74.08054	0	100.5969	4.593854	47.72001	-25.92288	
33	-68.42853	-77.12817	0	101.5346	3.465285	47.29078	-30.64603	
34	-67.72525	-83.22339	0	101.7691	2.281275	45.17207	-32.36575	
35	-67.72525	-92.36624	0	98.72145	-0.2544861	43.67971	-32.19437	
36	-65.84979	-99.3992	0	94.26724	-1.284607	42.32652	-26.26813	
37	-67.49084	-100.8058	0	95.20497	0.7376172	42.96097	-20.91208	
38	-68.66299	-102.2124	0	94.97054	1.717383	42.62643	-21.05875	
39	-69.36627	-102.2124	0	94.97054	1.764637	41.74822	-23.36758	
40	-69.36627	-103.1501	0	95.4394	2.588415	41.45017	-24.43604	
41	-69.36627	-101.0402	0	94.50168	3.395739	41.93058	-27.59851	
42	-67.49084	-102.9157	0	95.90826	2.798744	41.65646	-32.10068	
43	-68.19412	-102.6812	0	95.4394	3.452952	40.60651	-34.10391	
44	-68.19412	-102.6812	0	95.4394	5.198238	39.72141	-31.96982	
45	-67.95972	-102.6812	0	95.67384	5.878315	38.67942	-30.81482	
46	-68.19412	-99.16476	0	93.09509	6.812466	36.85681	-32.85086	
47	-65.84982	-101.0402	0	94.97054	6.783446	36.41123	-34.11743	
48	-68.42856	-102.9157	0	95.67384	6.780649	35.95106	-33.17117	
49	-68.19412	-103.619	0	95.90826	6.71857	37.12405	-34.07016	
50	-69.36627	-104.0878	0	95.67384	6.182186	37.69926	-36.86353	
51	-69.60071	-103.1501	0	95.67384	6.860269	35.81578	-37.95352	
52	-68.89743	-101.0402	0	94.73611	7.74116	37.08043	-38.77441	
53	-67.49084	-102.9157	0	95.4394	8.628277	39.9754	-37.53979	
54	-68.66299	-102.9157	0	94.50168	8.735186	39.96906	-38.29382	
55	-68.89743	-102.9157	0	94.26724	12.59419	40.94846	-40.63544	
56	-69.13187	-102.2124	0	94.50167	14.63415	41.62424	-42.99225	
57	-69.60074	-99.16476	0	91.21962	10.88134	43.26832	-42.47864	
58	-67.49084	-101.5091	0	92.62622	3.628541	44.41197	-40.77686	
59	-72.17947	-102.9156	0	93.09508	-4.708832	44.77354	-38.26529	
60	-73.35162	-104.3223	0	93.32951	-11.82416	46.72972	-38.44669	
61	-74.28937	-104.3223	0	93.09508	-18.60233	45.75764	-37.43286	
62	-74.5238	-104.0878	0	93.09508	-26.04767	45.53715	-39.23825	
63	-74.5238	-101.0402	0	92.62621	-34.01181	44.32505	-38.80603	
64	-72.64835	-103.1501	0	93.56394	-38.71024	44.80917	-41.05243	
65	-73.8205	-102.9156	0	93.09508	-39.5528	45.57874	-43.46515	
66	-73.35162	-102.4468	0	93.56393	-39.36035	47.46453	-46.61224	
67	-73.8205	-102.9156	0	93.09507	-39.81525	50.42869	-49.61649	
68	-73.35165	-99.63361	0	91.68847	-39.90469	53.19357	-52.30469	
69	-71.4762	-101.2746	0	92.62621	-38.50354	54.69943	-54.7981	
70	-72.88278	-102.6812	0	93.09506	-36.88538	56.25916	-59.22757	
71	-73.58609	-103.619	0	93.56393	-35.23923	56.60624	-61.02466	
72	-74.75824	-104.0878	0	93.3295	-32.96475	54.4557	-61.31357	
73	-74.5238	-103.8534	0	93.3295	-30.80096	53.53399	-61.79962	
74	-74.5238	-100.8058	0	94.03278	-29.75146	54.10358	-63.73987	
75	-72.64835	-102.2124	0	96.61154	-28.24576	53.63288	-66.21735	
76	-73.8205	-102.2124	0	99.19029	-27.43607	53.59288	-69.0488	
77	-73.35165	-102.6812	0	102.0035	-27.88837	53.1989	-71.00461	
78	-73.35165	-102.4468	0	104.5822	-30.58075	53.59924	-76.25204	
79	-73.58609	-99.16473	0	104.1134	-31.47763	56.34958	-83.41855	
80	-71.71063	-100.3369	0	104.8167	-29.14142	56.83891	-90.56781	
81	-72.88278	-102.4468	0	105.9888	-29.86749	56.87579	-95.38211	
82	-73.58609	-103.619	0	105.7544	-28.13605	58.63915	-105.5274	
83	-74.5238	-103.619	0	105.52	-25.08862	56.29309	-108.9154	
84	-75.22711	-93.7728	0	105.9888	-19.26068	57.39726	-111.6466	
85	-81.7912	-74.08051	0	104.8167	-16.48526	57.08452	-109.7151	
86	-89.29303	-68.923	0	105.7544	-15.55704	56.45309	-111.6254	
87	-90.93405	-67.75085	0	105.7544	-14.30716	56.37931	-109.7032	
88	-90.69962	-65.40652	0	106.2233	-14.18939	55.46231	-104.4937	
89	-91.40289	-65.40652	0	105.7544	-12.09061	53.91092	-101.3509	
90	-90.69962	-63.53107	0	103.6445	-11.19705	53.32248	-101.3428	
91	-88.35529	-64.23438	0	104.1134	-10.74536	52.69048	-102.8829	
92	-89.05859	-65.17209	0	107.3954	-6.849945	50.17603	-106.0102	
93	-90.46518	-65.64096	0	107.3954	-4.715454	48.53732	-106.6729	
94	-91.87177	-65.8754	0	107.3954	-4.149933	50.25583	-106.377	
95	-91.63733	-66.10983	0	108.0987	-4.897614	48.88078	-109.3946	
96	-91.63733	-61.65561	0	106.9266	-7.016327	40.46417	-113.9513	
97	-89.05859	-60.48346	0	107.8643	-10.19385	41.1368	-116.7999	
98	-90.69962	-60.24902	0	107.8643	-11.819	41.65689	-118.2921	
99	-90.69962	-60.48346	0	107.8643	-11.47974	41.56063	-119.529	
100	-89.99634	-60.7179	0	107.8643	-13.73566	42.45404	-122.9053	
101	-90.23074	-58.84244	0	105.52	-14.85028	42.30843	-122.6642	
102	-87.41757	-59.78015	0	106.6921	-16.81479	42.36879	-117.0598	
103	-89.29303	-60.48346	0	108.0987	-19.92633	41.43778	-109.0409	
104	-90.46518	-61.65564	0	108.5676	-24.19778	39.83441	-104.1154	
105	-91.16849	-60.24902	0	112.3185	-24.32227	39.84941	-104.4767	
106	-91.16849	-60.01459	0	114.6628	-22.71423	38.86627	-105.4916	
107	-91.16849	-58.37357	0	113.4907	-24.89502	36.30293	-106.2477	
108	-88.58972	-59.07687	0	115.3661	-24.46582	37.68737	-108.9706	
109	-90.69962	-59.31131	0	115.3661	-18.95505	36.90395	-113.1923	
110	-89.99634	-59.31131	0	116.3038	-13.53677	35.7119	-114.7235	
111	-90.46518	-57.43585	0	116.5383	-12.27579	32.99498	-112.3388	
112	-90.46518	-45.24539	0	113.7251	-12.60242	30.90586	-114.5551	
113	-87.65201	-16.17581	0	115.3661	-11.18243	32.64769	-123.7196	
114	-89.29303	-1.406586	0	113.4907	-12.24222	34.40955	-128.5307	
115	-90.23074	-19.69229	0	96.37712	-11.55173	36.70423	-122.9666	
116	-91.63736	-38.21243	0	81.60791	-11.59067	39.16115	-118.0891	
117	-91.40289	-55.56039	0	72.93392	-9.584839	41.31326	-115.276	
118	-89.7619	-67.04755	0	72.46506	-10.15045	42.52455	-117.7581	
119	-79.4469	-79.70688	0	72.93392	-12.48816	44.77929	-119.2468	
120	-78.97803	-80.87903	0	73.16836	-16.98837	46.54315	-120.2907	
121	-79.91574	-80.64462	0	73.16836	-19.57504	48.11465	-122.3854	
122	-80.15018	-80.17575	0	75.7471	-22.10226	50.11964	-129.0255	
123	-80.15018	-78.06586	0	75.27824	-25.09131	51.15439	-137.9714	
124	-77.80585	-79.94131	0	75.98154	-26.75464	51.37316	-143.905	
125	-78.97803	-97.05484	0	80.43575	-29.7298	49.56623	-147.4532	
126	-69.13187	-105.4944	0	86.0621	-34.32013	45.12144	-147.2598	
127	-64.91211	-105.4944	0	98.01815	-38.25183	42.3047	-145.2762	
128	-64.91211	-105.4944	0	98.25257	-40.57361	40.51837	-144.5813	
129	-64.91211	-104.0878	0	96.84598	-39.56055	40.45702	-145.5604	
130	-62.80222	-106.901	0	97.7837	-39.0224	42.01294	-145.825	
131	-63.97437	-107.3699	0	97.7837	-41.24121	42.64697	-143.7357	
132	-63.50549	-106.6666	0	111.8496	-40.1796	44.5131	-145.4093	
133	-58.81686	-106.6666	0	122.6335	-37.71646	46.17946	-151.2235	
134	-56.94141	-104.0878	0	128.9632	-39.76691	44.32328	-147.0564	
135	-55.06595	-105.4944	0	131.5419	-40.45938	43.06491	-143.2374	
136	-56.00366	-107.1354	0	133.6518	-40.38104	41.89059	-141.0909	
137	-57.87912	-106.901	0	134.1207	-42.18301	41.21863	-138.0071	
138	-63.73993	-108.3076	0	134.1207	-39.02869	39.66508	-136.6286	
139	-68.66302	-108.3076	0	134.3551	-39.78583	38.98909	-137.7703	
140	-69.83517	-105.7288	0	132.0108	-39.88351	36.93737	-135.7801	
141	-68.89743	-107.3699	0	133.8862	-41.14294	35.72752	-135.4579	
142	-70.30402	-107.3699	0	134.3551	-41.07974	30.79544	-129.4317	
143	-70.53845	-107.1354	0	134.5895	-42.44916	26.37736	-124.1036	
144	-70.77289	-107.1354	0	134.824	-40.70804	27.859	-126.5246	
145	-73.11722	-103.8534	0	134.1207	-37.98267	30.18722	-132.1241	
146	-71.94504	-105.7288	0	133.6518	-36.75931	32.01784	-134.3821	
147	-75.22711	-106.6665	0	135.7617	-36.64508	33.8796	-133.8745	
148	-86.24539	-108.0732	0	135.7617	-38.21588	32.10287	-127.9602	
149	-91.87177	-108.3076	0	135.7617	-38.22607	32.25919	-125.3472	
150	-92.57507	-107.1354	0	135.0584	-37.69998	34.77177	-127.6516	
151	-90.93402	-103.1501	0	131.5419	-33.80478	37.04754	-128.9966	
152	-88.12085	-106.901	0	135.7617	-30.25323	40.79819	-131.2678	
153	-91.63733	-106.4321	0	135.5273	-23.84222	45.0344	-131.748	
154	-91.87177	-108.7764	0	134.824	-16.26959	47.65441	-128.9389	
155	-92.57507	-108.7764	0	135.0584	-13.69302	50.87936	-125.1601	
156	-93.04391	-108.7764	0	135.0584	-15.1922	52.01845	-127.4953	
157	-92.57507	-105.4944	0	134.1207	-13.93454	51.08986	-126.7578	
158	-90.23074	-107.8387	0	136.2306	-11.02448	52.02068	-126.158	
159	-91.63733	-107.1354	0	135.9961	-10.51379	55.51611	-131.6131	
160	-91.87177	-107.1354	0	135.7617	-11.72617	56.69661	-134.5592	
161	-91.63733	-106.6665	0	135.7617	-14.75711	59.42391	-138.3142	
162	-91.63733	-103.3845	0	131.3075	-17.39633	59.05091	-138.3087	
163	-87.88641	-105.9633	0	134.3551	-17.32651	56.65471	-137.9622	
164	-91.63733	-106.6665	0	135.7617	-13.61392	55.50943	-139.0671	
165	-91.63733	-109.0109	0	135.0584	-11.50693	55.02333	-139.2341	
166	-92.80951	-108.7764	0	135.0584	-12.39911	55.44984	-139.3819	
167	-92.80951	-108.7764	0	135.2928	-15.54279	55.52147	-139.3163	
