All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	56	2018-11-02_08:19:02	0	ZEROING DATA	True	5.797824	97.037	98.32926	97.5173	5.860035E-27	0	0	1.708508E-26	0	0	0	100	2.549458E-29	1171.003	157.5382	239.3551	0	276.3954	193.8268	99.902	203.9852	43	13	11	1	11	1	4	3	
	57	2018-11-02_08:19:16	0	Presets_dockPreset_2	False	13.84155	97.5285	46.29688	75.11187	90	90	0	90	86.80292	29.81046	121.9782	73.13437	0.5651017	1969.968	354.938	222.476	0	372.0359	77.17807	219.4242	723.9164	29	20	1	1	4	4	0	0	
	58	2018-11-02_08:19:20	0	ZEROING DATA	True	3.950611	99.28374	99.82115	99.45624	9.975797E-18	1.124154E-36	0	9.975797E-18	0	0	0	100	2.216844E-20	1694.548	203.9481	211.4577	0	210.0591	172.0083	637.6564	259.4174	12	5	1	1	1	3	1	1	
	59	2018-11-02_08:19:31	0	Presets_dockPreset_4	True	10.35257	74.71636	86.68023	79.68911	110	38.64322	0	0	53.64773	153.3474	130.664	77.52879	0.540336	1823.491	417.0549	451.0471	0	335.1292	114.0491	196.0366	310.1737	27	0	2	1	20	3	2	0	
	60	2018-11-02_08:19:37	0	ZEROING DATA	True	5.65801	98.92087	97.29488	98.21712	1.203771E-25	0	0	0	0	0	0	100	1.337524E-28	1805.504	202.1809	396.4245	0	312.6318	148.6591	377.5394	368.068	53	21	13	1	11	1	4	3	
	61	2018-11-02_08:19:53	0	Presets_dockPreset_3	True	16.64499	91.53451	45.0197	71.1824	110	113.2501	0	135	2.217285	174.0488	128.533	64.81494	0.7367212	2011.4	322.8963	397.8309	0	495.8739	80.65878	336.6475	377.4911	22	7	2	1	0	14	0	0	
	62	2018-11-02_08:20:00	0	ZEROING DATA	True	6.597888	98.92554	96.98503	97.97829	3.232002E-30	0	0	3.831437E-30	0	0	0	100	7.848265E-33	1436.356	298.9508	365.9482	0	374.1033	55.85399	59.54572	281.9546	36	11	3	1	19	1	2	1	
	63	2018-11-02_08:20:11	0	Ltd Random	False	10.79052	91.04633	88.60445	89.28213	30	68.93515	0	90	5.122642E-06	150	90	76.47016	0.4765946	1558.024	358.4462	505.9041	0	310.3881	46.21278	165.0988	171.9742	46	18	7	1	6	6	4	6	
	64	2018-11-02_08:20:15	0	ZEROING DATA	True	3.650885	98.89296	99.60788	99.01445	8.669446E-17	5.711578E-34	0	2.562388E-16	0	0	0	100	3.81037E-19	1179.385	204.6591	283.1938	0	202.5492	12.09786	337.2744	139.6107	15	9	0	1	3	1	1	1	
	65	2018-11-02_08:20:50	0	Ltd Random	True	35.35911	93.08002	96.93993	94.13413	90	90	0	150	1.024528E-05	90	90	36.18813	0.5666667	2425.008	579.2444	740.1017	0	535.2081	60.68485	173.0929	336.6745	107	73	0	1	0	12	8	15	
	66	2018-11-02_08:20:51	0	ZEROING DATA	True	0.3869224	59.56048	69.93998	63.39981	0	0	0	0	0	0	0	100	0	466.794	94.90808	64.00003	0	136.9451	7.607915	77.20599	86.12689	0	0	0	1	0	0	0	0	
	67	2018-11-02_08:21:20	0	Ltd Random	True	29.19878	72.1305	84.73495	77.21779	30	109.2587	0	150	5.122642E-06	90	150	48.49365	0.5880652	4538.734	984.897	1178.255	0	1248.303	287.2348	411.5076	428.5334	26	2	0	1	0	19	6	0	
	68	2018-11-02_08:21:26	0	ZEROING DATA	True	5.676264	97.88326	98.65588	98.00352	0	0	0	0	0	0	0	100	0	1178.727	271.2392	263.2672	0	338.753	3.958022	122.1101	179.3994	44	7	16	1	18	1	2	1	
	69	2018-11-02_08:21:44	0	Ltd Random	False	17.8228	85.9876	85.76537	85.55688	90	50.50711	0	90	5.122642E-06	90	150	69.94564	0.5227857	1966.607	519.2902	544.351	0	586.3365	19.08469	81.60324	215.9426	40	4	26	1	4	7	0	0	
	70	2018-11-02_08:21:49	0	ZEROING DATA	True	4.900096	97.42776	97.98249	97.49261	2.625774E-22	1.611493E-43	0	2.625774E-22	0	0	0	100	5.835053E-25	1814.607	188.7411	341.5673	0	337.3243	76.12208	137.8724	732.9796	40	5	12	1	16	5	0	3	
	71	2018-11-02_08:22:03	0	Presets_dockPreset_5	True	13.96859	97.8716	77.92714	88.06582	0	0	0	90	69.49974	5.641295	156.7109	54.97678	0.3576133	5993.059	299.5425	534.5052	0	668.3272	111.6203	2259.505	2119.56	105	37	55	1	12	0	2	0	
	72	2018-11-02_08:22:09	0	ZEROING DATA	True	6.074492	98.66505	99.40427	98.90691	0	0	0	1.024952E-27	0	0	0	100	1.138836E-30	1946.775	160.2665	276.3953	0	309.3653	150.7949	411.9521	638.0004	73	31	25	1	9	1	1	7	
	73	2018-11-02_08:22:20	0	Ltd Random	True	10.28095	96.74116	61.87425	81.28017	90	50.89694	0	30	90	60	0	87.04798	0.3565522	1404.479	218.3157	276.864	0	270.39	80.40276	265.6258	292.8813	25	1	4	1	19	0	0	2	
	74	2018-11-02_08:22:23	0	ZEROING DATA	True	3.198116	99.64321	99.09425	99.38324	3.49775E-14	7.798339E-30	0	1.181641E-14	0	0	0	100	5.199322E-17	995.4246	205.123	169.9632	0	167.8583	163.3934	100.0636	189.0229	28	7	7	1	7	1	5	1	
	75	2018-11-02_08:22:32	0	Ltd Random	False	8.807178	96.54932	64.67171	82.49475	90	90	0	90	90	0	0	89.05112	0.4	1356.503	128.2294	274.0509	0	506.6075	79.07064	171.5414	197.0036	11	1	1	1	0	7	2	2	
	76	2018-11-02_08:22:38	0	ZEROING DATA	True	5.977528	99.54044	99.50521	99.47698	2.884287E-27	0	0	2.884287E-27	0	0	0	100	6.409526E-30	1411.859	281.0707	236.3075	0	364.5553	154.3973	177.1354	198.3931	44	9	11	1	17	1	3	3	
	77	2018-11-02_08:23:00	0	Ltd Random	False	21.6128	96.1693	47.0358	74.79604	90	129.6027	0	90	90	150	0	61.08529	0.6106697	3011.183	622.6666	404.864	0	973.3589	69.33727	450.9136	490.0396	25	11	0	1	2	9	0	4	
	78	2018-11-02_08:23:07	0	ZEROING DATA	True	6.904919	99.51463	95.50661	97.74854	6.917135E-32	0	0	6.917135E-32	0	0	0	100	1.537141E-34	1877.849	314.8311	347.1937	0	347.908	171.015	305.5967	391.3046	57	17	15	1	19	3	2	1	
	79	2018-11-02_08:23:22	0	Ltd Random	False	15.49121	84.74033	44.09787	66.92145	30	69.59122	0	150	90	150	0	77.16203	0.5439903	1949.111	493.2212	476.366	0	463.4829	83.13367	151.7738	281.1329	15	0	8	1	0	6	0	2	
	80	2018-11-02_08:23:29	0	ZEROING DATA	True	6.80624	97.8282	98.82291	98.23518	9.832844E-32	0	0	4.446184E-31	0	0	0	100	6.032743E-34	1398.309	169.9284	244.2782	0	341.8369	159.8175	212.7533	269.6949	56	24	11	1	11	1	4	5	
	81	2018-11-02_08:23:41	0	Presets_dockPreset_3	False	11.43246	94.98224	97.52568	94.86198	110	113.2621	0	135	25.14104	69.25906	159.2328	74.84593	0.6798834	2056.516	351.8825	363.1352	0	561.3495	50.64635	36.47241	693.03	10	2	0	1	1	2	5	0	
	82	2018-11-02_08:23:45	0	ZEROING DATA	True	4.546834	99.02318	99.41734	99.14721	1.911682E-20	3.532673E-42	0	2.316011E-20	0	0	0	100	4.697437E-23	1518.164	273.1586	285.5382	0	394.2695	22.57103	162.7826	379.8435	40	11	9	1	7	5	7	1	
	83	2018-11-02_08:24:34	0	Presets_dockPreset_2	False	48.37083	98.04765	94.48937	95.97276	90	90	0	90	10.90869	43.31716	143.3118	19.31345	0.5194864	3894.902	894.4547	790.2704	0	1386.899	127.728	87.2084	608.3402	137	19	30	1	27	34	25	2	
	84	2018-11-02_08:24:39	0	ZEROING DATA	True	5.155697	98.4697	99.67333	98.9714	0	0	0	0	0	0	0	100	0	1395.675	270.5281	247.0914	0	454.1013	33.05469	58.37525	332.5248	34	9	11	1	9	3	1	1	
	85	2018-11-02_08:24:50	0	Presets_dockPreset_1	True	10.99898	94.92455	94.84295	94.32574	0	150	0	150	56.45306	65.21687	97.84833	71.07425	0.5772425	1411.125	432.3279	289.9922	0	437.6555	50.8486	72.4159	127.8856	50	45	0	1	0	2	2	1	
	86	2018-11-02_08:24:55	0	ZEROING DATA	True	4.304343	99.4077	99.825	99.52592	0	9.340761E-40	0	3.65123E-19	0	0	0	100	4.056922E-22	1229.972	149.3555	301.9485	0	327.2448	91.98761	164.5779	194.8584	37	19	9	1	7	1	1	1	
	87	2018-11-02_08:25:15	0	Ltd Random	True	20.51604	67.67299	63.8606	61.17743	30	30	0	150	30	180	180	68.15797	0.6666667	2424.7	595.2231	424.3218	0	957.1857	113.0179	81.83513	253.1145	6	4	0	1	0	0	0	2	
	88	2018-11-02_08:25:19	0	ZEROING DATA	True	3.944369	99.57671	99.83356	99.58295	2.241701E-18	1.683715E-37	0	9.632229E-18	0	0	0	100	1.319326E-20	1145.909	117.6849	354.4612	0	241.465	68.98411	39.30363	324.0104	41	16	7	1	9	5	5	1	
	89	2018-11-02_08:25:34	0	Presets_dockPreset_4	True	14.1529	93.60655	85.23785	89.94972	110	37.65234	0	0	34.40527	34.62433	76.21055	85.05379	0.3254361	1377.379	287.8825	444.7174	0	513.1756	13.6694	0	117.9337	37	2	6	1	29	1	0	0	
	90	2018-11-02_08:25:38	0	ZEROING DATA	True	3.96395	99.54414	99.18967	99.28668	9.58517E-18	3.083211E-37	0	0	0	0	0	100	1.065019E-20	740.6328	295.146	154.022	0	129.176	70.68152	10.1237	81.48389	32	9	5	1	11	3	3	1	
	91	2018-11-02_08:25:50	0	Ltd Random	True	12.39693	91.59934	93.55522	92.35043	90	128.9217	0	30	5.008957E-06	5.008957E-06	90	86.52515	0.3765797	1338.527	401.1091	345.5527	0	429.9443	0	5.380573	156.5405	21	0	0	1	10	1	10	2	
